timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1484095940.370,23.438,28.809,30.273,46.875,22.949,0
1484095940.374,25.879,30.273,34.668,48.340,17.090,0
1484095940.378,31.250,26.855,33.203,52.734,4.883,0
1484095940.382,28.809,20.996,30.273,52.246,32.715,0
1484095940.386,24.414,17.090,27.344,46.387,46.875,0
1484095940.390,25.391,21.973,23.926,41.016,54.199,0
1484095940.394,23.438,26.855,28.320,43.457,52.734,0
1484095940.397,15.137,22.461,31.250,38.574,11.230,0
1484095940.401,11.719,19.531,30.273,35.645,1.465,0
1484095940.405,14.160,21.973,28.809,41.504,-10.742,0
1484095940.409,11.230,25.879,24.902,41.016,27.344,0
1484095940.413,9.277,27.344,25.391,42.480,69.336,0
1484095940.417,9.277,25.879,25.391,45.898,58.594,0
1484095940.421,8.301,24.414,21.973,43.945,20.508,0
1484095940.425,13.672,25.391,21.973,47.363,-35.645,0
1484095940.429,14.648,22.461,24.414,45.410,-21.973,0
1484095940.433,17.090,20.508,22.949,42.969,-23.926,0
1484095940.436,20.996,22.949,23.926,44.922,-27.832,0
1484095940.440,26.367,21.484,30.762,44.922,-11.719,0
1484095940.444,28.809,21.484,31.250,44.434,-28.809,0
1484095940.448,27.344,23.926,25.391,45.410,29.785,0
1484095940.452,29.297,26.855,25.391,46.875,7.812,0
1484095940.456,32.227,27.344,23.438,49.805,-8.789,0
1484095940.460,32.227,33.691,15.137,46.875,40.039,0
1484095940.464,31.738,37.598,14.648,42.969,42.480,0
1484095940.468,34.668,36.133,15.625,45.410,17.578,0
1484095940.472,36.133,37.109,16.602,43.457,-33.691,0
1484095940.476,41.992,40.527,21.484,46.875,9.766,0
1484095940.479,42.969,42.480,18.555,48.828,9.277,0
1484095940.483,30.273,41.016,13.672,43.945,8.789,0
1484095940.487,27.832,39.062,17.090,46.875,41.992,0
1484095940.491,26.367,38.086,19.043,48.340,25.391,0
1484095940.495,19.043,39.551,24.902,46.387,36.133,0
1484095940.499,18.066,37.109,33.203,50.781,22.461,0
