timestamps,X,Y,Z,Marker0
1505864875.944,-0.522,0.813,0.302,0
1505864875.963,-0.523,0.811,0.305,0
1505864875.983,-0.522,0.811,0.305,0
1505864876.003,-0.523,0.814,0.304,0
1505864876.022,-0.527,0.815,0.303,0
1505864876.042,-0.526,0.816,0.299,0
1505864876.062,-0.526,0.817,0.298,0
1505864876.082,-0.527,0.817,0.296,0
1505864876.101,-0.525,0.818,0.296,0
1505864876.121,-0.524,0.818,0.298,0
1505864876.141,-0.525,0.816,0.296,0
1505864876.160,-0.524,0.817,0.296,0
1505864876.180,-0.526,0.818,0.294,0
1505864876.200,-0.526,0.820,0.298,0
1505864876.219,-0.525,0.816,0.299,0
1505864876.239,-0.523,0.815,0.299,0
1505864876.259,-0.525,0.816,0.299,0
1505864876.279,-0.527,0.817,0.301,0
1505864876.298,-0.529,0.817,0.299,0
1505864876.318,-0.527,0.816,0.300,0
1505864876.338,-0.524,0.813,0.301,0
1505864876.357,-0.521,0.811,0.301,0
1505864876.377,-0.523,0.811,0.298,0
1505864876.397,-0.527,0.816,0.297,0
1505864876.417,-0.528,0.819,0.296,0
1505864876.436,-0.529,0.820,0.295,0
1505864876.456,-0.528,0.819,0.294,0
1505864876.476,-0.524,0.816,0.298,0
1505864876.495,-0.522,0.815,0.298,0
1505864876.515,-0.522,0.814,0.298,0
1505864876.535,-0.522,0.816,0.297,0
1505864876.554,-0.524,0.819,0.296,0
1505864876.574,-0.525,0.823,0.297,0
1505864876.594,-0.524,0.822,0.296,0
1505864876.614,-0.524,0.821,0.296,0
1505864876.633,-0.524,0.820,0.297,0
1505864876.653,-0.524,0.818,0.298,0
1505864876.673,-0.524,0.816,0.297,0
1505864876.692,-0.522,0.813,0.296,0
1505864876.712,-0.524,0.811,0.294,0
1505864876.732,-0.527,0.815,0.293,0
1505864876.752,-0.528,0.822,0.295,0
1505864876.771,-0.528,0.821,0.297,0
1505864876.791,-0.525,0.821,0.300,0
1505864876.811,-0.520,0.818,0.303,0
1505864876.830,-0.513,0.812,0.306,0
