timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1486276396.453,61.035,34.668,32.227,29.785,53.223,0
1486276396.457,61.523,28.320,25.879,23.926,63.477,0
1486276396.461,62.988,27.832,38.574,33.203,36.621,0
1486276396.465,55.664,29.297,46.387,35.645,61.035,0
1486276396.469,51.270,27.344,45.410,25.391,50.293,0
1486276396.473,58.105,26.367,35.645,31.250,28.320,0
1486276396.476,57.617,25.879,29.785,40.039,28.320,0
1486276396.480,54.688,25.879,33.691,38.574,5.371,0
1486276396.484,52.734,29.785,38.574,41.016,42.969,0
1486276396.488,63.477,31.738,37.598,46.875,29.297,0
1486276396.492,75.195,35.645,43.945,43.945,-23.926,0
1486276396.496,63.965,41.016,53.711,47.363,1.465,0
1486276396.500,55.664,31.250,48.828,51.270,21.484,0
1486276396.504,61.035,26.367,46.875,48.340,28.320,0
1486276396.508,55.664,30.273,50.781,39.551,43.945,0
1486276396.512,47.363,32.715,44.434,35.645,62.988,0
1486276396.516,47.363,34.668,39.062,45.898,27.344,0
1486276396.519,45.898,33.203,46.875,48.340,-44.434,0
1486276396.523,51.270,35.156,52.734,47.852,-15.625,0
1486276396.527,55.176,36.621,49.316,47.852,33.203,0
1486276396.531,51.758,32.227,35.645,38.086,49.805,0
1486276396.535,48.340,29.297,31.250,34.668,-17.578,0
1486276396.539,42.480,32.715,42.969,36.133,-54.688,0
1486276396.543,37.598,36.621,38.574,31.738,64.941,0
1486276396.547,39.551,34.668,26.367,24.902,67.871,0
1486276396.551,45.898,31.738,26.367,21.484,38.574,0
1486276396.555,43.457,33.691,22.461,23.926,62.988,0
1486276396.559,41.992,31.738,13.184,26.367,-1.465,0
1486276396.562,41.016,28.320,17.090,22.461,15.625,0
1486276396.566,37.109,29.297,27.344,20.020,47.363,0
1486276396.570,35.645,32.227,33.203,25.391,-2.441,0
1486276396.574,35.156,27.832,38.574,29.785,30.762,0
1486276396.578,43.945,18.555,49.805,28.320,43.945,0
1486276396.582,54.199,26.367,48.828,27.832,-1.465,0
1486276396.586,57.617,30.273,37.598,33.203,-25.879,0
1486276396.590,53.223,21.484,32.227,36.621,34.668,0
1486276396.594,53.711,19.531,29.785,34.180,93.262,0
1486276396.598,61.035,21.973,33.203,24.902,18.066,0
1486276396.601,62.500,28.320,28.809,23.438,23.438,0
1486276396.605,64.941,29.785,34.180,29.785,37.598,0
1486276396.609,59.082,27.344,41.016,27.832,7.812,0
1486276396.613,47.852,27.344,29.297,29.297,27.832,0
1486276396.617,40.039,27.344,30.762,27.832,20.996,0
1486276396.621,49.805,28.809,42.480,29.785,-5.371,0
1486276396.625,60.059,29.785,43.945,33.203,-20.996,0
1486276396.629,54.199,31.738,40.039,30.273,-29.297,0
1486276396.633,55.664,35.156,33.691,31.250,23.926,0
1486276396.637,63.965,38.086,29.297,37.598,12.207,0
1486276396.641,58.594,35.156,34.180,37.109,-18.555,0
1486276396.644,51.270,31.738,39.551,34.668,0.000,0
1486276396.648,52.734,30.273,41.504,31.738,51.270,0
1486276396.652,50.781,22.949,38.086,21.973,58.105,0
1486276396.656,51.758,19.531,30.762,17.578,11.719,0
1486276396.660,52.734,22.461,34.180,20.508,-0.977,0
1486276396.664,49.316,23.438,28.320,23.926,10.742,0
1486276396.668,50.293,22.949,18.555,27.832,99.121,0
1486276396.672,52.246,23.438,26.367,33.203,94.238,0
1486276396.676,56.641,23.438,35.645,33.691,15.137,0
1486276396.680,55.664,20.020,32.715,31.738,70.801,0
1486276396.684,46.875,20.508,24.414,31.738,70.312,0
1486276396.687,51.758,24.414,23.438,34.668,34.180,0
1486276396.691,53.711,26.367,32.715,39.551,33.203,0
1486276396.695,49.316,26.367,41.016,33.691,10.742,0
1486276396.699,64.941,30.273,36.621,29.785,15.137,0
1486276396.703,71.777,33.203,38.574,39.062,27.832,0
1486276396.707,58.594,34.180,41.992,37.109,15.625,0
1486276396.711,52.246,32.227,35.645,31.250,23.926,0
1486276396.715,58.105,28.320,40.039,29.297,58.594,0
1486276396.719,57.129,30.762,32.715,33.203,51.270,0
1486276396.723,49.316,39.551,25.879,39.551,13.672,0
1486276396.726,52.734,35.156,46.875,45.410,11.230,0
1486276396.730,53.711,24.902,57.617,42.480,12.695,0
1486276396.734,51.758,28.809,45.410,38.086,43.457,0
1486276396.738,51.270,32.227,31.250,39.062,36.133,0
1486276396.742,49.805,29.297,35.156,34.668,9.766,0
1486276396.746,55.176,31.250,48.828,40.527,21.973,0
1486276396.750,55.176,39.062,52.246,47.852,71.289,0
1486276396.754,48.340,40.039,49.805,34.668,82.031,0
1486276396.758,41.016,35.156,48.340,26.367,-9.766,0
1486276396.762,43.457,33.691,46.387,25.391,-21.484,0
1486276396.766,53.223,30.273,36.133,20.996,12.695,0
1486276396.769,54.688,26.855,32.227,24.414,0.977,0
