timestamps,X,Y,Z,Marker0
1486363968.173,-0.297,-0.098,0.934,0
1486363968.192,-0.298,-0.104,0.937,0
1486363968.212,-0.292,-0.106,0.931,0
1486363968.232,-0.295,-0.111,0.925,0
1486363968.251,-0.302,-0.109,0.914,0
1486363968.271,-0.310,-0.101,0.917,0
1486363968.291,-0.318,-0.094,0.918,0
1486363968.311,-0.315,-0.081,0.921,0
1486363968.330,-0.312,-0.069,0.934,0
1486363968.350,-0.305,-0.066,0.946,0
1486363968.370,-0.296,-0.068,0.968,0
1486363968.389,-0.293,-0.075,0.987,0
1486363968.409,-0.294,-0.094,0.994,0
1486363968.429,-0.321,-0.121,0.988,0
1486363968.449,-0.344,-0.141,0.983,0
1486363968.468,-0.344,-0.148,0.950,0
1486363968.488,-0.336,-0.134,0.913,0
1486363968.508,-0.321,-0.108,0.845,0
1486363968.527,-0.277,-0.081,0.857,1
1486363968.547,-0.259,-0.072,0.881,0
1486363968.567,-0.254,-0.072,0.919,0
1486363968.586,-0.273,-0.071,0.943,0
1486363968.606,-0.302,-0.082,0.940,0
1486363968.626,-0.328,-0.099,0.945,0
1486363968.646,-0.336,-0.110,0.960,0
1486363968.665,-0.335,-0.115,0.965,0
1486363968.685,-0.343,-0.123,0.973,0
1486363968.705,-0.354,-0.133,0.973,0
1486363968.724,-0.357,-0.128,0.963,0
1486363968.744,-0.353,-0.117,0.942,0
1486363968.764,-0.334,-0.107,0.913,0
1486363968.783,-0.316,-0.106,0.893,0
1486363968.803,-0.296,-0.106,0.888,0
1486363968.823,-0.290,-0.103,0.895,0
1486363968.843,-0.293,-0.107,0.905,0
1486363968.862,-0.305,-0.112,0.923,0
1486363968.882,-0.322,-0.119,0.938,0
1486363968.902,-0.339,-0.121,0.953,0
1486363968.921,-0.349,-0.127,0.963,0
1486363968.941,-0.346,-0.133,0.966,0
1486363968.961,-0.346,-0.132,0.964,0
1486363968.981,-0.340,-0.127,0.945,0
1486363969.000,-0.325,-0.120,0.928,0
1486363969.020,-0.312,-0.105,0.905,0
1486363969.040,-0.296,-0.104,0.896,0
1486363969.059,-0.284,-0.105,0.912,0
1486363969.079,-0.293,-0.110,0.921,0
1486363969.099,-0.305,-0.117,0.930,0
1486363969.118,-0.318,-0.123,0.942,0
1486363969.138,-0.328,-0.128,0.948,0
1486363969.158,-0.325,-0.128,0.942,0
1486363969.178,-0.316,-0.126,0.947,0
1486363969.197,-0.306,-0.118,0.946,0
1486363969.217,-0.297,-0.110,0.936,0
1486363969.237,-0.291,-0.108,0.925,0
1486363969.256,-0.291,-0.105,0.920,0
1486363969.276,-0.297,-0.108,0.930,0
1486363969.296,-0.307,-0.113,0.936,0
1486363969.315,-0.312,-0.117,0.942,0
1486363969.335,-0.314,-0.118,0.946,0
1486363969.355,-0.316,-0.121,0.947,0
1486363969.375,-0.313,-0.119,0.945,0
1486363969.394,-0.303,-0.111,0.935,0
1486363969.414,-0.293,-0.110,0.931,0
1486363969.434,-0.282,-0.110,0.931,0
1486363969.453,-0.275,-0.111,0.930,0
