timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1507344882.535,24.414,47.852,32.715,17.090,35.156,0
1507344882.539,27.832,40.527,25.879,15.625,-27.344,0
1507344882.543,39.551,35.645,19.531,20.996,-16.113,0
1507344882.546,43.457,41.504,37.109,21.484,19.531,0
1507344882.550,32.715,41.504,34.180,16.602,-4.883,0
1507344882.554,26.855,41.016,29.297,16.602,-12.695,0
1507344882.558,31.250,37.598,38.574,13.672,0.488,0
1507344882.562,34.180,31.250,26.367,12.695,29.297,0
1507344882.566,33.691,38.574,21.484,19.043,59.082,0
1507344882.570,28.320,41.504,30.273,18.555,-4.395,0
1507344882.574,33.691,40.039,16.602,23.926,-21.973,0
1507344882.578,34.180,40.039,-4.883,22.949,38.086,0
1507344882.582,27.832,31.250,22.461,25.879,22.949,0
1507344882.586,30.762,34.668,44.434,33.691,5.859,0
1507344882.589,25.879,32.715,28.809,29.785,21.484,0
1507344882.593,25.391,26.855,36.133,30.273,34.180,0
1507344882.597,45.410,38.574,54.688,40.039,43.457,0
1507344882.601,46.387,38.574,24.902,41.016,31.738,0
1507344882.605,44.922,36.133,9.766,38.086,27.832,0
1507344882.609,52.734,38.086,26.367,39.551,3.418,0
1507344882.613,45.898,30.762,21.973,39.062,-10.742,0
1507344882.617,48.828,28.809,42.969,46.387,0.000,0
1507344882.621,53.711,37.109,56.152,55.664,20.020,0
1507344882.625,61.035,39.551,44.434,60.059,20.508,0
1507344882.628,67.383,46.387,21.973,54.688,11.719,0
1507344882.632,50.781,43.945,15.137,42.969,19.043,0
1507344882.636,49.316,38.086,43.945,47.363,25.391,0
1507344882.640,63.477,40.039,33.203,58.105,2.441,0
1507344882.644,54.688,31.738,-28.809,50.781,-20.508,0
1507344882.648,51.758,36.621,-7.812,47.363,-27.832,0
1507344882.652,69.336,53.711,56.152,58.105,-11.719,0
1507344882.656,68.359,44.922,72.266,63.965,-7.812,0
1507344882.660,66.406,41.504,61.035,68.848,-17.578,0
1507344882.664,63.965,45.898,23.438,60.059,6.836,0
1507344882.668,62.500,42.480,23.926,52.734,26.367,0
1507344882.671,67.383,48.828,60.547,63.965,1.953,0
1507344882.675,69.824,50.781,59.570,70.801,20.996,0
1507344882.679,75.195,46.875,28.809,71.289,57.617,0
1507344882.683,82.031,44.922,46.387,74.219,33.691,0
1507344882.687,83.496,43.945,55.664,75.195,4.883,0
1507344882.691,80.566,45.410,38.574,75.195,-2.930,0
1507344882.695,67.871,47.363,36.133,69.824,20.996,0
1507344882.699,65.918,42.969,22.461,64.453,38.086,0
1507344882.703,82.520,45.410,12.695,71.289,2.441,0
1507344882.707,79.102,43.457,26.367,65.430,-12.207,0
1507344882.711,74.707,41.992,42.480,60.547,16.602,0
1507344882.714,95.215,50.781,54.688,77.148,28.809,0
1507344882.718,99.121,46.875,36.133,76.660,14.648,0
1507344882.722,89.844,41.992,19.043,74.219,-2.930,0
1507344882.726,93.750,42.969,36.133,83.008,21.973,0
1507344882.730,90.332,42.969,51.270,79.102,30.273,0
1507344882.734,85.938,47.363,37.109,76.172,14.648,0
1507344882.738,97.168,55.176,17.578,80.078,29.785,0
1507344882.742,96.191,46.875,24.414,74.707,40.527,0
1507344882.746,95.215,44.922,36.621,70.312,26.367,0
1507344882.750,103.027,47.852,39.062,76.660,9.277,0
1507344882.753,103.027,44.434,35.156,83.008,6.836,0
1507344882.757,98.145,38.574,20.020,78.613,38.086,0
1507344882.761,101.562,46.875,30.762,84.473,62.988,0
1507344882.765,105.469,53.711,39.551,89.844,39.551,0
1507344882.769,95.703,39.062,27.344,81.055,32.715,0
1507344882.773,86.426,42.969,41.016,76.660,54.688,0
1507344882.777,92.773,53.711,34.180,74.219,33.691,0
1507344882.781,97.168,47.363,20.508,69.336,-15.137,0
1507344882.785,100.586,49.316,47.852,77.148,8.301,0
1507344882.789,93.750,46.387,59.082,79.590,25.879,0
1507344882.793,75.684,33.203,49.316,69.336,-11.719,0
1507344882.796,69.824,41.504,44.434,67.871,-29.785,0
1507344882.800,73.730,52.246,35.645,65.430,-19.531,0
1507344882.804,72.754,46.387,36.621,61.523,10.742,0
1507344882.808,66.895,41.016,27.832,53.711,14.160,0
1507344882.812,65.918,43.945,21.973,52.246,5.859,0
1507344882.816,68.848,48.340,23.926,55.664,26.855,0
1507344882.820,70.312,50.293,26.367,50.293,13.184,0
1507344882.824,66.895,50.293,29.785,53.711,-4.883,0
1507344882.828,62.988,41.504,14.648,52.246,19.531,0
1507344882.832,66.406,38.086,18.555,51.758,17.578,0
1507344882.836,71.289,44.922,19.531,58.594,-11.719,0
1507344882.839,80.078,50.781,28.809,62.500,16.602,0
1507344882.843,86.426,56.152,54.688,65.430,31.738,0
1507344882.847,82.520,50.293,56.641,63.965,23.926,0
1507344882.851,76.660,37.109,48.828,58.594,-14.648,0
1507344882.855,75.684,39.062,38.086,65.430,-42.969,0
1507344882.859,64.941,42.969,42.480,63.477,18.066,0
1507344882.863,57.129,44.434,41.016,59.570,57.617,0
1507344882.867,58.594,41.504,21.973,62.988,22.461,0
1507344882.871,64.941,30.273,8.301,56.641,6.348,0
1507344882.875,70.312,41.504,34.668,61.523,12.207,0
1507344882.878,62.988,53.711,54.199,65.430,40.039,0
1507344882.882,58.594,52.246,19.043,56.641,24.902,0
1507344882.886,64.941,55.664,13.672,55.664,-30.273,0
1507344882.890,65.430,46.875,28.320,58.594,-20.020,0
1507344882.894,59.570,42.480,41.504,48.828,4.395,0
1507344882.898,62.500,50.293,51.758,45.410,-9.277,0
1507344882.902,67.871,51.270,41.992,52.734,-33.691,0
1507344882.906,65.430,46.875,17.578,47.852,-14.160,0
1507344882.910,67.871,52.734,11.719,49.316,1.953,0
1507344882.914,74.707,60.059,25.391,61.035,23.926,0
1507344882.918,78.125,61.035,17.090,60.059,23.926,0
1507344882.921,79.590,61.035,5.859,50.293,12.695,0
1507344882.925,81.055,60.059,28.809,57.617,33.203,0
1507344882.929,85.449,59.082,56.641,62.500,18.066,0
1507344882.933,94.727,48.340,50.781,67.871,16.602,0
1507344882.937,98.145,45.410,23.926,68.848,20.508,0
1507344882.941,86.426,51.758,8.301,58.594,3.906,0
1507344882.945,80.566,50.293,19.043,62.500,1.953,0
1507344882.949,76.172,42.969,31.250,62.012,-18.066,0
1507344882.953,82.031,47.852,27.832,62.500,-1.953,0
1507344882.957,87.402,57.129,29.785,65.918,21.484,0
1507344882.961,79.590,55.664,42.969,60.547,4.395,0
1507344882.964,74.707,49.805,24.902,57.617,-0.488,0
