timestamps,X,Y,Z,Marker0
1507427530.465,-0.037,-0.060,-2.766,0
1507427530.485,0.127,-0.269,-2.624,0
1507427530.505,0.381,-0.322,-2.467,0
1507427530.525,0.576,-0.217,-2.422,0
1507427530.544,0.591,-0.194,-2.437,0
1507427530.564,0.583,-0.209,-2.527,0
1507427530.584,0.628,-0.359,-2.579,0
1507427530.603,0.815,-0.538,-2.766,0
1507427530.623,0.516,-0.508,-2.916,0
1507427530.643,0.217,-0.359,-3.080,0
1507427530.663,0.269,-0.262,-3.200,0
1507427530.682,0.381,-0.135,-3.110,0
1507427530.702,0.426,-0.105,-2.931,0
1507427530.722,0.449,-0.022,-2.707,0
1507427530.741,0.486,-0.082,-2.542,0
1507427530.761,0.501,-0.194,-2.452,0
1507427530.781,0.493,-0.336,-2.475,0
1507427530.800,0.419,-0.329,-2.654,0
1507427530.820,0.202,0.060,-2.677,0
1507427530.840,0.209,0.120,-2.639,0
1507427530.860,0.411,-0.105,-2.639,0
1507427530.879,0.546,-0.194,-2.662,0
1507427530.899,0.576,-0.142,-2.751,0
1507427530.919,0.224,0.120,-2.751,0
1507427530.938,-0.045,0.232,-2.692,0
1507427530.958,0.000,0.194,-2.467,0
1507427530.978,0.202,0.045,-2.168,0
1507427530.998,0.359,-0.209,-1.772,0
1507427531.017,0.523,-0.322,-1.697,0
1507427531.037,0.621,-0.374,-1.907,0
1507427531.057,0.613,-0.381,-2.191,0
1507427531.076,0.493,-0.292,-2.565,0
1507427531.096,0.307,-0.060,-2.931,0
1507427531.116,0.067,0.120,-2.998,0
1507427531.135,0.060,0.097,-2.819,0
1507427531.155,0.247,-0.067,-2.602,0
1507427531.175,0.314,-0.187,-2.363,0
1507427531.195,0.508,-0.209,-2.161,0
1507427531.214,0.628,-0.172,-2.131,0
1507427531.234,0.516,-0.067,-2.213,1
1507427531.254,0.262,0.045,-2.325,0
1507427531.273,-0.007,0.052,-2.348,0
1507427531.293,-0.015,-0.090,-2.490,0
1507427531.313,0.067,0.007,-2.430,0
1507427531.333,0.538,0.142,-2.325,0
1507427531.352,0.733,0.232,-2.265,0
