timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1512969218.861,-7.324,39.062,35.156,-10.254,62.988,0
1512969218.865,-7.324,34.668,25.879,-18.066,78.613,0
1512969218.869,-12.207,39.551,16.113,-20.020,62.500,0
1512969218.872,-4.395,45.898,21.973,-15.625,42.480,0
1512969218.876,3.418,46.875,35.645,-1.953,67.871,0
1512969218.880,0.000,45.410,33.203,6.836,103.516,0
1512969218.884,2.930,48.340,19.531,5.371,67.383,0
1512969218.888,18.066,55.664,21.484,3.906,5.859,0
1512969218.892,24.414,46.387,23.926,1.465,45.898,0
1512969218.896,15.137,43.945,25.879,-2.930,101.074,0
1512969218.900,6.348,54.199,37.109,6.836,101.562,0
1512969218.904,3.418,49.316,34.668,13.184,64.453,0
1512969218.908,6.348,41.016,24.902,10.254,42.969,0
1512969218.912,3.418,37.109,27.344,11.719,87.891,0
1512969218.915,-5.859,34.668,35.156,16.113,102.539,0
1512969218.919,-2.930,34.180,33.203,18.555,19.043,0
1512969218.923,3.418,34.668,25.879,11.230,6.836,0
1512969218.927,0.000,39.062,27.344,18.066,99.609,0
1512969218.931,-8.789,48.340,32.227,30.762,95.215,0
1512969218.935,-10.254,53.711,37.109,27.344,18.066,0
1512969218.939,-8.301,49.316,31.250,18.066,-21.973,0
1512969218.943,3.418,41.504,40.527,9.766,49.805,0
1512969218.947,6.836,39.062,51.270,9.766,119.629,0
1512969218.951,6.348,44.434,42.969,18.066,45.898,0
1512969218.955,2.441,39.062,37.598,19.043,-10.254,0
1512969218.958,2.441,39.062,41.016,28.809,53.711,0
1512969218.962,1.465,39.551,37.598,26.855,111.816,0
1512969218.966,-6.348,37.109,31.738,15.625,63.477,0
1512969218.970,-0.488,35.645,44.922,19.043,2.441,0
1512969218.974,6.836,41.992,58.594,23.926,12.207,0
1512969218.978,4.883,44.434,52.734,24.414,63.477,0
1512969218.982,3.418,38.574,49.316,26.855,69.824,0
1512969218.986,4.395,42.480,48.340,24.902,1.953,0
1512969218.990,8.789,37.598,39.551,11.230,-1.953,0
1512969218.994,14.648,30.273,43.457,14.648,65.430,0
1512969218.997,0.000,27.832,49.316,21.484,100.586,0
1512969219.001,-10.254,30.273,43.945,14.160,39.551,0
1512969219.005,-6.836,27.344,36.133,4.883,-6.836,0
1512969219.009,-8.301,28.320,43.457,9.766,16.602,0
1512969219.013,-2.930,44.434,46.875,18.066,48.340,0
1512969219.017,2.441,48.340,41.504,10.254,30.762,0
1512969219.021,4.883,34.668,28.809,-0.977,-13.184,0
1512969219.025,-5.371,28.320,29.785,3.418,9.277,0
1512969219.029,-6.836,29.785,44.922,8.301,57.129,0
1512969219.033,2.930,33.203,36.621,-4.395,46.387,0
1512969219.037,5.371,29.785,25.391,-4.395,0.488,0
1512969219.040,-0.977,32.227,29.297,0.000,20.020,0
1512969219.044,-14.160,31.738,34.180,-19.043,73.242,0
1512969219.048,-11.230,36.133,40.527,-16.602,96.191,0
1512969219.052,-8.789,45.410,45.898,-0.488,37.109,0
1512969219.056,-15.137,43.457,43.945,-2.441,-14.160,0
1512969219.060,-22.949,34.668,41.504,-6.348,59.570,0
1512969219.064,-29.785,28.809,41.504,-2.441,118.652,0
1512969219.068,-29.297,24.902,39.551,-9.277,68.848,0
1512969219.072,-14.648,30.762,37.598,-13.672,-22.461,0
1512969219.076,1.953,35.156,38.574,-9.277,5.371,0
1512969219.080,1.465,26.855,37.598,-3.418,117.188,0
1512969219.083,-7.812,34.668,41.016,4.883,73.242,0
1512969219.087,-18.555,37.598,43.457,0.000,-14.648,0
1512969219.091,-17.578,34.180,41.504,-6.836,21.484,0
1512969219.095,-10.254,42.480,47.363,-0.488,100.098,0
1512969219.099,-15.137,46.387,52.246,10.254,84.961,0
1512969219.103,-11.230,43.945,47.852,8.789,-0.488,0
1512969219.107,2.930,39.551,47.852,7.812,-1.465,0
1512969219.111,0.488,34.180,56.641,14.160,39.551,0
