timestamps,X,Y,Z,Marker0
1512881285.848,-0.524,0.774,0.366,0
1512881285.867,-0.524,0.775,0.367,0
1512881285.887,-0.526,0.776,0.366,0
1512881285.907,-0.524,0.775,0.369,0
1512881285.926,-0.524,0.774,0.368,0
1512881285.946,-0.523,0.773,0.369,0
1512881285.966,-0.524,0.774,0.368,0
1512881285.985,-0.525,0.775,0.367,0
1512881286.005,-0.525,0.776,0.367,0
1512881286.025,-0.525,0.776,0.367,0
1512881286.045,-0.524,0.777,0.369,0
1512881286.064,-0.524,0.773,0.368,0
1512881286.084,-0.524,0.775,0.367,0
1512881286.104,-0.523,0.778,0.367,0
1512881286.123,-0.524,0.775,0.369,0
1512881286.143,-0.522,0.773,0.369,0
1512881286.163,-0.522,0.772,0.369,0
1512881286.183,-0.522,0.774,0.369,0
1512881286.202,-0.523,0.777,0.367,0
1512881286.222,-0.527,0.780,0.365,0
1512881286.242,-0.529,0.779,0.366,0
1512881286.261,-0.526,0.774,0.367,0
1512881286.281,-0.524,0.773,0.367,0
1512881286.301,-0.524,0.770,0.368,1
1512881286.321,-0.525,0.772,0.369,0
1512881286.340,-0.525,0.774,0.370,0
1512881286.360,-0.524,0.776,0.369,0
1512881286.380,-0.526,0.777,0.367,0
1512881286.399,-0.526,0.778,0.366,0
1512881286.419,-0.522,0.776,0.366,0
1512881286.439,-0.525,0.776,0.368,0
1512881286.458,-0.525,0.772,0.369,0
1512881286.478,-0.524,0.772,0.369,0
1512881286.498,-0.524,0.774,0.369,0
1512881286.518,-0.524,0.775,0.367,0
1512881286.537,-0.524,0.775,0.368,0
1512881286.557,-0.525,0.776,0.367,0
1512881286.577,-0.525,0.775,0.368,0
1512881286.596,-0.525,0.776,0.369,0
1512881286.616,-0.524,0.775,0.369,0
1512881286.636,-0.523,0.772,0.370,0
1512881286.656,-0.524,0.772,0.370,0
1512881286.675,-0.525,0.773,0.369,0
1512881286.695,-0.527,0.774,0.370,0
1512881286.715,-0.524,0.773,0.368,0
1512881286.734,-0.523,0.775,0.368,0
1512881286.754,-0.522,0.774,0.369,0
1512881286.774,-0.523,0.775,0.367,0
1512881286.793,-0.524,0.776,0.368,0
1512881286.813,-0.526,0.779,0.368,0
