timestamps,X,Y,Z,Marker0
1512856762.973,-0.761,0.658,0.060,0
1512856762.993,-0.763,0.656,0.061,0
1512856763.013,-0.763,0.654,0.063,0
1512856763.032,-0.764,0.653,0.060,0
1512856763.052,-0.763,0.652,0.063,0
1512856763.072,-0.763,0.650,0.062,0
1512856763.091,-0.765,0.648,0.062,0
1512856763.111,-0.766,0.648,0.060,0
1512856763.131,-0.766,0.648,0.061,0
1512856763.151,-0.766,0.651,0.061,0
1512856763.170,-0.766,0.651,0.060,0
1512856763.190,-0.765,0.650,0.061,0
1512856763.210,-0.767,0.650,0.058,0
1512856763.229,-0.766,0.648,0.062,0
1512856763.249,-0.770,0.651,0.060,0
1512856763.269,-0.770,0.653,0.060,0
1512856763.289,-0.768,0.652,0.062,0
1512856763.308,-0.762,0.647,0.064,0
1512856763.328,-0.759,0.640,0.063,0
1512856763.348,-0.761,0.643,0.061,0
1512856763.367,-0.768,0.651,0.060,0
1512856763.387,-0.772,0.654,0.060,0
1512856763.407,-0.772,0.654,0.059,0
1512856763.426,-0.767,0.651,0.057,0
1512856763.446,-0.764,0.650,0.059,0
1512856763.466,-0.763,0.649,0.059,0
1512856763.486,-0.765,0.651,0.059,0
1512856763.505,-0.767,0.654,0.059,0
1512856763.525,-0.767,0.653,0.058,0
1512856763.545,-0.766,0.652,0.058,0
1512856763.564,-0.766,0.651,0.060,0
1512856763.584,-0.764,0.652,0.059,0
1512856763.604,-0.765,0.654,0.061,0
1512856763.624,-0.764,0.653,0.060,0
1512856763.643,-0.765,0.653,0.058,0
1512856763.663,-0.764,0.652,0.059,0
1512856763.683,-0.764,0.650,0.057,0
1512856763.702,-0.765,0.649,0.057,1
1512856763.722,-0.766,0.650,0.057,0
1512856763.742,-0.769,0.652,0.057,0
1512856763.762,-0.769,0.652,0.057,0
1512856763.781,-0.768,0.649,0.057,0
1512856763.801,-0.766,0.648,0.058,0
1512856763.821,-0.765,0.648,0.058,0
1512856763.840,-0.766,0.648,0.059,0
1512856763.860,-0.767,0.649,0.059,0
1512856763.880,-0.766,0.652,0.058,0
1512856763.899,-0.766,0.651,0.060,0
1512856763.919,-0.766,0.654,0.058,0
1512856763.939,-0.766,0.652,0.059,0
1512856763.959,-0.765,0.652,0.056,0
1512856763.978,-0.765,0.652,0.058,0
1512856763.998,-0.766,0.650,0.057,0
1512856764.018,-0.765,0.650,0.057,0
1512856764.037,-0.767,0.651,0.056,0
1512856764.057,-0.768,0.651,0.056,0
1512856764.077,-0.768,0.653,0.057,0
1512856764.097,-0.766,0.652,0.058,0
1512856764.116,-0.767,0.651,0.058,0
1512856764.136,-0.767,0.652,0.058,0
1512856764.156,-0.765,0.652,0.059,0
1512856764.175,-0.764,0.649,0.059,0
1512856764.195,-0.762,0.646,0.059,0
1512856764.215,-0.763,0.645,0.059,0
1512856764.234,-0.763,0.646,0.059,0
1512856764.254,-0.768,0.652,0.057,0
1512856764.274,-0.773,0.655,0.055,0
1512856764.294,-0.773,0.656,0.055,0
1512856764.313,-0.771,0.652,0.055,0
1512856764.333,-0.766,0.649,0.056,0
1512856764.353,-0.764,0.647,0.057,0
1512856764.372,-0.763,0.647,0.058,0
1512856764.392,-0.765,0.648,0.058,0
1512856764.412,-0.767,0.648,0.057,0
1512856764.432,-0.770,0.648,0.058,0
1512856764.451,-0.770,0.649,0.058,0
1512856764.471,-0.768,0.652,0.060,0
1512856764.491,-0.768,0.652,0.057,0
1512856764.510,-0.767,0.647,0.059,0
1512856764.530,-0.766,0.645,0.059,0
1512856764.550,-0.764,0.645,0.057,0
1512856764.570,-0.766,0.645,0.056,0
1512856764.589,-0.770,0.648,0.056,0
1512856764.609,-0.771,0.650,0.056,0
1512856764.629,-0.770,0.650,0.055,0
1512856764.648,-0.770,0.649,0.057,0
1512856764.668,-0.770,0.647,0.057,0
1512856764.688,-0.768,0.646,0.057,0
1512856764.707,-0.768,0.646,0.059,0
1512856764.727,-0.768,0.646,0.057,0
1512856764.747,-0.768,0.647,0.059,0
1512856764.767,-0.769,0.648,0.058,0
1512856764.786,-0.770,0.648,0.057,0
1512856764.806,-0.769,0.648,0.058,0
1512856764.826,-0.768,0.647,0.056,0
1512856764.845,-0.768,0.647,0.057,0
1512856764.865,-0.768,0.648,0.057,0
1512856764.885,-0.769,0.647,0.057,0
1512856764.905,-0.770,0.646,0.056,0
1512856764.924,-0.770,0.649,0.056,0
1512856764.944,-0.770,0.646,0.056,2
1512856764.964,-0.769,0.646,0.056,0
1512856764.983,-0.768,0.646,0.057,0
1512856765.003,-0.770,0.647,0.058,0
1512856765.023,-0.771,0.647,0.057,0
1512856765.043,-0.771,0.650,0.057,0
1512856765.062,-0.769,0.649,0.057,0
1512856765.082,-0.767,0.644,0.057,0
1512856765.102,-0.767,0.642,0.058,0
1512856765.121,-0.766,0.642,0.059,0
1512856765.141,-0.768,0.644,0.058,0
1512856765.161,-0.773,0.648,0.056,0
1512856765.180,-0.777,0.652,0.057,0
1512856765.200,-0.775,0.650,0.056,0
1512856765.220,-0.770,0.645,0.057,0
1512856765.240,-0.766,0.642,0.057,0
1512856765.259,-0.767,0.641,0.059,0
1512856765.279,-0.768,0.643,0.058,0
1512856765.299,-0.770,0.645,0.057,0
1512856765.318,-0.773,0.646,0.060,0
1512856765.338,-0.773,0.648,0.058,0
1512856765.358,-0.773,0.646,0.058,0
1512856765.378,-0.773,0.646,0.059,0
1512856765.397,-0.771,0.643,0.059,0
1512856765.417,-0.769,0.642,0.060,0
1512856765.437,-0.768,0.639,0.059,0
1512856765.456,-0.769,0.639,0.058,3
1512856765.476,-0.771,0.641,0.057,0
1512856765.496,-0.775,0.644,0.059,0
1512856765.515,-0.776,0.646,0.058,0
1512856765.535,-0.774,0.645,0.058,0
1512856765.555,-0.772,0.644,0.059,0
1512856765.575,-0.770,0.642,0.059,0
1512856765.594,-0.771,0.640,0.059,0
1512856765.614,-0.772,0.642,0.058,0
1512856765.634,-0.774,0.642,0.059,0
1512856765.653,-0.773,0.643,0.060,0
1512856765.673,-0.773,0.643,0.061,0
1512856765.693,-0.773,0.644,0.059,0
1512856765.713,-0.771,0.642,0.060,0
1512856765.732,-0.772,0.642,0.060,0
1512856765.752,-0.772,0.643,0.059,0
1512856765.772,-0.774,0.642,0.059,0
1512856765.791,-0.773,0.640,0.058,0
1512856765.811,-0.774,0.642,0.058,0
1512856765.831,-0.773,0.641,0.060,0
1512856765.851,-0.774,0.642,0.058,0
1512856765.870,-0.774,0.641,0.058,0
1512856765.890,-0.775,0.640,0.058,0
1512856765.910,-0.774,0.641,0.060,0
1512856765.929,-0.773,0.641,0.058,0
1512856765.949,-0.774,0.640,0.059,4
1512856765.969,-0.775,0.640,0.059,0
1512856765.988,-0.774,0.640,0.060,0
1512856766.008,-0.774,0.638,0.061,0
1512856766.028,-0.775,0.639,0.059,0
1512856766.048,-0.775,0.641,0.059,0
1512856766.067,-0.777,0.639,0.060,0
1512856766.087,-0.776,0.639,0.060,0
1512856766.107,-0.776,0.638,0.057,0
1512856766.126,-0.774,0.638,0.058,0
1512856766.146,-0.775,0.638,0.060,0
1512856766.166,-0.777,0.639,0.060,0
1512856766.186,-0.778,0.640,0.059,0
1512856766.205,-0.779,0.642,0.057,0
1512856766.225,-0.775,0.638,0.060,0
1512856766.245,-0.773,0.630,0.062,0
1512856766.264,-0.770,0.628,0.060,0
1512856766.284,-0.773,0.631,0.059,0
1512856766.304,-0.777,0.639,0.057,0
1512856766.324,-0.782,0.644,0.058,0
1512856766.343,-0.781,0.643,0.057,0
1512856766.363,-0.777,0.642,0.057,0
1512856766.383,-0.774,0.638,0.057,0
1512856766.402,-0.774,0.636,0.058,0
1512856766.422,-0.775,0.634,0.059,0
1512856766.442,-0.775,0.636,0.058,0
1512856766.461,-0.777,0.638,0.058,5
1512856766.481,-0.777,0.637,0.058,0
1512856766.501,-0.777,0.638,0.057,0
1512856766.521,-0.779,0.639,0.057,0
1512856766.540,-0.780,0.639,0.061,0
1512856766.560,-0.779,0.638,0.058,0
1512856766.580,-0.777,0.636,0.056,0
1512856766.599,-0.777,0.635,0.056,0
1512856766.619,-0.775,0.634,0.054,0
1512856766.639,-0.776,0.633,0.055,0
1512856766.659,-0.779,0.633,0.053,0
1512856766.678,-0.780,0.638,0.052,0
1512856766.698,-0.784,0.640,0.052,0
1512856766.718,-0.787,0.632,0.052,0
1512856766.737,-0.785,0.633,0.050,0
1512856766.757,-0.788,0.632,0.052,0
1512856766.777,-0.786,0.631,0.049,0
1512856766.796,-0.788,0.628,0.049,0
1512856766.816,-0.787,0.626,0.050,0
1512856766.836,-0.786,0.626,0.049,0
1512856766.856,-0.785,0.626,0.050,0
1512856766.875,-0.784,0.619,0.047,0
1512856766.895,-0.789,0.616,0.050,0
1512856766.915,-0.793,0.619,0.046,0
1512856766.934,-0.794,0.621,0.044,0
1512856766.954,-0.797,0.620,0.043,0
1512856766.974,-0.800,0.616,0.043,0
1512856766.994,-0.798,0.610,0.043,0
1512856767.013,-0.796,0.611,0.043,0
1512856767.033,-0.801,0.607,0.044,0
1512856767.053,-0.802,0.602,0.043,0
1512856767.072,-0.803,0.600,0.043,0
1512856767.092,-0.805,0.601,0.045,0
