timestamps,X,Y,Z,Marker0
1512883178.856,-0.366,-0.045,-2.363,0
1512883178.876,-0.493,-0.179,-2.422,0
1512883178.895,-0.366,-0.135,-2.378,0
1512883178.915,-0.299,0.037,-2.520,0
1512883178.935,-0.336,0.037,-2.408,0
1512883178.955,-0.351,-0.015,-2.280,0
1512883178.974,-0.411,-0.090,-2.221,0
1512883178.994,-0.456,-0.172,-2.265,0
1512883179.014,-0.546,-0.164,-2.378,0
1512883179.033,-0.493,-0.135,-2.482,0
1512883179.053,-0.389,-0.037,-2.482,0
1512883179.073,-0.232,0.030,-2.430,0
1512883179.092,-0.277,0.037,-2.370,0
1512883179.112,-0.322,0.000,-2.258,0
1512883179.132,-0.381,-0.067,-2.153,0
1512883179.152,-0.389,-0.082,-2.101,0
1512883179.171,-0.426,-0.090,-2.303,0
1512883179.191,-0.426,-0.202,-2.355,0
1512883179.211,-0.419,-0.105,-2.400,0
1512883179.230,-0.329,-0.045,-2.430,0
1512883179.250,-0.359,-0.045,-2.430,0
1512883179.270,-0.366,-0.007,-2.303,0
1512883179.290,-0.344,-0.030,-2.183,0
1512883179.309,-0.329,-0.007,-2.161,0
1512883179.329,-0.359,-0.022,-2.146,0
1512883179.349,-0.389,0.007,-2.183,0
1512883179.368,-0.322,-0.052,-2.393,0
1512883179.388,-0.307,-0.120,-2.422,0
1512883179.408,-0.381,-0.112,-2.400,0
1512883179.427,-0.322,-0.060,-2.430,0
1512883179.447,-0.202,-0.030,-2.482,0
1512883179.467,-0.277,0.022,-2.422,0
1512883179.487,-0.299,-0.022,-2.280,0
1512883179.506,-0.366,0.007,-2.056,0
1512883179.526,-0.366,-0.030,-2.019,0
1512883179.546,-0.351,-0.015,-2.086,0
1512883179.565,-0.344,-0.060,-2.146,0
1512883179.585,-0.419,-0.052,-2.176,0
1512883179.605,-0.404,-0.015,-2.288,0
1512883179.624,-0.344,-0.015,-2.228,0
1512883179.644,-0.359,-0.015,-2.176,0
1512883179.664,-0.344,0.000,-2.153,0
1512883179.684,-0.307,-0.022,-2.273,0
1512883179.703,-0.389,-0.015,-2.295,0
1512883179.723,-0.359,0.022,-2.400,0
1512883179.743,-0.359,-0.030,-2.437,0
1512883179.762,-0.359,0.015,-2.482,0
1512883179.782,-0.314,0.007,-2.535,0
1512883179.802,-0.307,-0.007,-2.422,0
1512883179.822,-0.336,0.030,-2.363,0
1512883179.841,-0.299,0.022,-2.228,0
1512883179.861,-0.254,0.000,-2.086,0
1512883179.881,-0.307,0.030,-1.981,0
1512883179.900,-0.336,-0.060,-2.049,0
1512883179.920,-0.292,-0.097,-2.265,0
1512883179.940,-0.262,-0.007,-2.467,0
1512883179.959,-0.262,-0.022,-2.684,0
1512883179.979,-0.329,-0.090,-2.565,0
1512883179.999,-0.434,-0.150,-2.340,0
1512883180.019,-0.419,-0.090,-2.288,0
1512883180.038,-0.389,0.015,-2.363,0
1512883180.058,-0.224,0.037,-2.482,0
1512883180.078,-0.135,0.172,-2.535,0
1512883180.097,-0.179,0.112,-2.572,0
1512883180.117,-0.254,0.060,-2.505,0
1512883180.137,-0.307,-0.015,-2.437,0
1512883180.156,-0.307,-0.022,-2.355,0
1512883180.176,-0.314,-0.022,-2.378,0
1512883180.196,-0.277,-0.015,-2.415,0
1512883180.216,-0.269,0.030,-2.452,0
1512883180.235,-0.239,0.000,-2.393,0
1512883180.255,-0.262,-0.007,-2.393,0
1512883180.275,-0.374,-0.075,-2.333,0
1512883180.294,-0.426,-0.135,-2.340,0
1512883180.314,-0.396,-0.022,-2.363,0
1512883180.334,-0.217,0.022,-2.505,0
1512883180.353,-0.247,0.030,-2.445,0
1512883180.373,-0.299,-0.112,-2.490,0
1512883180.393,-0.471,-0.179,-2.557,0
1512883180.413,-0.471,-0.112,-2.475,0
1512883180.432,-0.419,-0.090,-2.437,0
