timestamps,X,Y,Z,Marker0
1512555682.399,-0.591,-0.538,-2.452,0
1512555682.419,-0.553,-0.568,-2.206,0
1512555682.439,-0.172,-0.665,-2.041,0
1512555682.459,0.164,-0.688,-2.094,0
1512555682.478,0.157,-0.576,-2.333,0
1512555682.498,-0.179,-0.695,-2.707,0
1512555682.518,-0.493,-0.935,-2.774,0
1512555682.537,-0.867,-0.972,-2.849,0
1512555682.557,-1.054,-0.957,-2.759,0
1512555682.577,-0.822,-0.905,-2.460,0
1512555682.596,-0.523,-0.935,-2.378,0
1512555682.616,-0.374,-1.024,-2.385,0
1512555682.636,-0.097,-0.875,-2.617,0
1512555682.656,0.284,-0.441,-3.043,0
1512555682.675,0.583,-0.157,-3.574,0
1512555682.695,0.322,-0.172,-3.656,0
1512555682.715,0.172,-0.209,-3.290,0
1512555682.734,0.224,-0.120,-2.609,0
1512555682.754,0.568,-0.217,-1.944,0
1512555682.774,0.718,-0.419,-1.682,0
1512555682.793,0.658,-0.366,-1.892,0
1512555682.813,0.710,-0.202,-2.385,0
1512555682.833,0.553,-0.546,-2.594,0
1512555682.853,0.322,-0.636,-2.662,0
1512555682.872,0.247,-0.441,-2.579,0
1512555682.892,-0.037,-0.516,-2.355,0
1512555682.912,0.142,-0.516,-2.123,0
1512555682.931,0.179,-0.434,-1.959,0
1512555682.951,0.045,-0.254,-1.869,2
1512555682.971,-0.015,-0.277,-1.608,0
1512555682.991,0.277,-0.576,-1.286,0
1512555683.010,0.718,-0.755,-1.637,0
1512555683.030,0.733,-0.770,-2.422,0
1512555683.050,0.262,-0.740,-3.148,0
1512555683.069,0.045,-0.763,-3.537,0
1512555683.089,0.209,-0.740,-3.140,0
1512555683.109,0.292,-0.852,-2.535,0
1512555683.128,0.359,-1.017,-2.101,0
1512555683.148,0.239,-0.882,-2.251,0
1512555683.168,-0.067,-0.576,-2.624,0
1512555683.188,-0.164,-0.142,-2.841,0
1512555683.207,-0.239,-0.067,-2.602,0
1512555683.227,0.120,-0.591,-1.914,0
1512555683.247,0.381,-0.957,-1.540,0
1512555683.266,0.508,-0.830,-2.086,0
1512555683.286,0.755,-0.867,-3.133,0
1512555683.306,1.024,-0.785,-3.866,0
1512555683.326,0.800,-0.523,-3.866,0
1512555683.345,0.314,-0.613,-3.402,0
1512555683.365,0.187,-0.748,-3.140,0
1512555683.385,0.135,-0.882,-2.856,0
1512555683.404,0.292,-0.897,-2.811,0
1512555683.424,0.508,-0.763,-2.819,0
1512555683.444,0.882,-0.606,-2.804,3
1512555683.463,1.189,-0.830,-2.804,0
1512555683.483,1.181,-0.987,-2.722,0
1512555683.503,0.957,-0.740,-3.080,0
1512555683.523,0.665,-0.591,-3.178,0
1512555683.542,0.471,-0.650,-2.983,0
1512555683.562,0.314,-0.755,-2.774,0
1512555683.582,0.344,-0.800,-2.796,0
1512555683.601,0.501,-0.650,-3.163,0
1512555683.621,0.247,-0.621,-3.350,0
1512555683.641,0.202,-0.740,-3.140,0
1512555683.661,0.396,-0.987,-2.707,0
1512555683.680,0.292,-1.122,-2.288,0
1512555683.700,0.135,-0.875,-2.265,0
1512555683.720,-0.022,-0.830,-2.280,0
1512555683.739,0.015,-1.002,-2.280,0
1512555683.759,0.164,-0.890,-2.393,0
1512555683.779,0.292,-0.845,-2.602,0
1512555683.798,0.621,-0.987,-2.722,0
1512555683.818,0.785,-1.077,-2.923,0
1512555683.838,0.359,-1.032,-3.125,0
1512555683.858,-0.322,-1.122,-3.215,0
1512555683.877,-0.389,-1.151,-2.953,0
1512555683.897,-0.239,-0.935,-2.497,0
1512555683.917,-0.037,-0.755,-1.929,0
1512555683.936,0.052,-0.807,-1.578,4
1512555683.956,0.090,-1.181,-1.391,0
1512555683.976,0.157,-1.271,-1.794,0
1512555683.996,0.247,-1.271,-2.550,0
1512555684.015,0.150,-1.062,-3.193,0
1512555684.035,-0.127,-0.778,-3.581,0
1512555684.055,-0.254,-0.456,-3.507,0
1512555684.074,-0.097,-0.486,-2.774,0
1512555684.094,0.187,-0.628,-1.936,0
1512555684.114,0.217,-0.718,-1.735,0
1512555684.133,0.075,-0.733,-1.884,0
1512555684.153,-0.067,-0.613,-2.430,0
1512555684.173,-0.135,-0.426,-2.901,0
1512555684.193,0.030,-0.389,-3.095,0
1512555684.212,0.142,-0.419,-2.923,0
1512555684.232,0.112,-0.486,-2.819,0
1512555684.252,0.164,-0.703,-2.639,0
1512555684.271,0.404,-0.703,-2.692,0
1512555684.291,0.411,-0.822,-2.834,0
1512555684.311,0.097,-0.867,-2.908,0
1512555684.331,0.239,-0.733,-2.751,0
1512555684.350,0.164,-1.069,-2.707,0
1512555684.370,-0.643,-1.510,-2.587,0
1512555684.390,-0.935,-1.436,-2.378,0
1512555684.409,-0.950,-1.279,-2.206,0
1512555684.429,-0.479,-1.129,-2.400,0
1512555684.449,0.164,-0.845,-2.527,5
1512555684.468,0.366,-0.419,-2.609,0
1512555684.488,0.449,-0.456,-2.587,0
1512555684.508,0.194,-0.628,-2.572,0
1512555684.528,-0.112,-0.785,-2.467,0
1512555684.547,-0.164,-0.912,-2.258,0
1512555684.567,-0.105,-0.972,-2.213,0
1512555684.587,0.007,-0.994,-2.243,0
1512555684.606,0.052,-0.994,-1.989,0
1512555684.626,-0.426,-1.002,-1.757,0
1512555684.646,-1.196,-0.837,-1.473,0
1512555684.666,-1.563,-0.359,-1.413,0
1512555684.685,-1.413,-0.045,-1.391,0
1512555684.705,-1.024,-0.045,-1.301,0
1512555684.725,-0.606,-0.135,-1.264,0
1512555684.744,-0.307,-0.232,-1.069,0
1512555684.764,0.082,-0.464,-0.800,0
1512555684.784,0.523,-0.441,-1.234,0
1512555684.803,0.172,-0.598,-2.161,0
1512555684.823,-0.067,-1.211,-2.826,0
1512555684.843,0.336,-1.346,-2.894,0
1512555684.863,1.114,-1.069,-2.737,0
1512555684.882,2.236,-0.680,-2.490,0
1512555684.902,2.594,-0.516,-2.445,0
1512555684.922,1.869,-0.576,-2.460,0
1512555684.941,1.002,-0.755,-2.437,0
1512555684.961,0.793,-0.553,-2.557,0
1512555684.981,0.135,-0.733,-2.565,0
1512555685.000,-0.531,-1.039,-2.430,0
1512555685.020,-0.755,-0.822,-1.884,0
1512555685.040,-1.047,-0.748,-1.331,0
1512555685.060,-1.293,-0.815,-0.845,0
1512555685.079,-1.204,-0.852,-0.785,0
1512555685.099,-0.322,-0.725,-0.748,0
1512555685.119,0.755,-0.643,-1.002,0
1512555685.138,1.129,-0.516,-1.720,0
1512555685.158,0.890,-0.583,-2.198,0
1512555685.178,0.471,-0.680,-2.385,0
1512555685.198,0.164,-0.628,-2.482,0
1512555685.217,0.217,-0.703,-1.966,0
1512555685.237,0.351,-0.815,-1.241,0
1512555685.257,0.179,-0.935,-1.256,0
1512555685.276,-0.307,-0.763,-1.570,0
1512555685.296,-0.142,-0.456,-1.899,0
1512555685.316,0.351,-0.359,-2.123,0
1512555685.335,0.748,-0.322,-2.251,0
1512555685.355,1.099,-0.127,-2.370,0
1512555685.375,0.852,-0.366,-2.505,0
1512555685.395,0.546,-0.621,-2.400,0
1512555685.414,0.344,-0.897,-2.378,0
1512555685.434,0.374,-0.860,-2.385,0
1512555685.454,0.770,-0.553,-2.422,0
1512555685.473,1.062,-0.673,-2.385,0
1512555685.493,1.077,-1.039,-2.587,0
1512555685.513,0.942,-1.054,-2.856,0
1512555685.533,0.822,-0.852,-3.223,0
1512555685.552,0.531,-0.516,-3.223,0
1512555685.572,0.837,-0.254,-2.871,0
1512555685.592,1.585,-0.322,-2.482,0
1512555685.611,1.974,-0.568,-2.325,0
1512555685.631,1.660,-0.740,-2.654,0
1512555685.651,1.092,-0.815,-2.946,0
1512555685.670,0.479,-0.807,-2.968,0
1512555685.690,0.037,-0.785,-2.632,0
1512555685.710,0.090,-0.665,-2.370,0
1512555685.730,0.037,-0.815,-2.467,0
1512555685.749,0.217,-0.703,-2.796,0
1512555685.769,0.411,-0.576,-2.677,0
1512555685.789,0.793,-0.763,-2.056,0
1512555685.808,1.122,-1.084,-1.548,0
1512555685.828,0.516,-1.159,-1.667,0
1512555685.848,-0.501,-0.822,-2.288,0
1512555685.868,-1.518,-0.479,-2.871,0
1512555685.887,-1.824,-0.284,-2.737,0
1512555685.907,-1.279,-0.217,-1.974,0
1512555685.927,-0.830,-0.187,-0.935,0
1512555685.946,-0.501,-0.179,-0.142,0
1512555685.966,-0.157,-0.254,0.239,0
1512555685.986,0.030,-0.501,-0.426,0
1512555686.005,0.404,-0.434,-1.712,0
1512555686.025,0.576,-0.292,-2.766,0
1512555686.045,0.479,-0.404,-2.639,0
1512555686.065,0.576,-0.486,-1.929,0
1512555686.084,0.837,-0.516,-1.181,0
1512555686.104,1.092,-0.553,-0.837,0
1512555686.124,1.099,-0.531,-1.406,0
1512555686.143,0.680,-0.508,-2.378,0
1512555686.163,-0.209,-0.426,-3.439,0
1512555686.183,-0.718,-0.015,-3.701,0
1512555686.203,-0.404,-0.022,-2.923,0
1512555686.222,0.254,-0.322,-1.652,0
1512555686.242,0.950,-0.456,-0.733,0
1512555686.262,0.979,-0.688,-0.778,0
1512555686.281,0.434,-0.314,-1.869,0
1512555686.301,0.172,0.187,-3.021,0
1512555686.321,0.292,0.090,-3.103,0
1512555686.340,0.471,-0.419,-2.677,0
1512555686.360,0.613,-0.516,-2.303,0
1512555686.380,0.703,-0.508,-2.475,0
1512555686.400,0.568,-0.673,-2.811,0
1512555686.419,0.636,-0.576,-3.372,0
1512555686.439,0.628,-0.389,-3.753,0
1512555686.459,0.381,-0.351,-3.656,0
1512555686.478,0.105,-0.299,-3.118,0
1512555686.498,0.277,-0.464,-2.542,0
1512555686.518,0.695,-0.621,-2.258,0
1512555686.538,0.770,-0.680,-2.206,0
1512555686.557,0.942,-0.755,-2.527,0
1512555686.577,1.129,-0.822,-3.013,0
1512555686.597,0.778,-0.778,-3.514,0
1512555686.616,0.561,-0.404,-3.372,0
1512555686.636,0.307,-0.516,-2.677,0
1512555686.656,0.172,-0.793,-2.041,0
1512555686.675,-0.075,-0.912,-2.056,0
1512555686.695,-0.187,-0.965,-2.400,0
1512555686.715,-0.396,-1.286,-2.542,0
1512555686.735,-0.636,-1.166,-2.497,0
1512555686.754,-0.553,-0.965,-2.280,0
1512555686.774,-0.404,-0.979,-1.899,0
1512555686.794,-0.157,-0.935,-1.892,0
1512555686.813,0.075,-0.987,-2.161,0
1512555686.833,0.449,-0.860,-2.475,0
1512555686.853,0.673,-0.755,-2.804,0
1512555686.873,1.069,-0.673,-3.095,0
1512555686.892,1.323,-0.658,-3.327,0
1512555686.912,1.024,-0.673,-3.275,0
1512555686.932,0.531,-0.807,-3.073,0
