timestamps,X,Y,Z,Marker0
1483709206.866,1.914,-2.744,-2.871,0
1483709206.886,1.877,-1.996,-2.692,0
1483709206.906,2.542,-0.531,-3.125,0
1483709206.925,3.544,0.150,-3.858,0
1483709206.945,4.112,-0.336,-4.067,0
1483709206.965,3.170,-0.546,-3.275,0
1483709206.984,1.974,-0.322,-2.497,0
1483709207.004,1.854,-0.411,-2.333,0
1483709207.024,2.251,-0.628,-2.019,0
1483709207.044,2.213,-1.054,-0.979,0
1483709207.063,2.206,-0.793,-1.024,0
1483709207.083,2.475,0.105,-2.415,0
1483709207.103,2.662,0.090,-2.766,0
1483709207.122,2.722,-1.144,-3.065,0
1483709207.142,2.572,-1.839,-3.664,0
1483709207.162,2.467,-1.234,-2.475,0
1483709207.182,3.155,-0.269,-2.034,0
1483709207.201,4.150,0.957,-2.079,0
1483709207.221,4.897,0.882,-2.781,0
1483709207.241,4.254,-0.314,-4.613,0
1483709207.260,3.447,-0.987,-5.361,0
1483709207.280,2.729,-1.047,-3.836,0
1483709207.300,2.243,-0.920,-2.445,0
1483709207.319,2.886,-0.740,-2.886,0
1483709207.339,3.888,-0.359,-3.237,0
1483709207.359,4.703,-0.344,-3.798,0
1483709207.379,4.905,-0.209,-4.606,0
1483709207.398,4.030,-0.456,-4.636,0
1483709207.418,2.826,-0.673,-3.193,0
1483709207.438,2.400,-0.486,-1.779,0
1483709207.457,3.036,-0.254,-2.452,0
1483709207.477,4.037,-0.471,-4.299,0
1483709207.497,4.127,-0.822,-4.486,0
1483709207.517,3.118,-0.935,-3.028,0
1483709207.536,2.243,-0.628,-2.086,0
1483709207.556,2.236,-0.606,-2.684,0
1483709207.576,3.155,-0.837,-3.851,0
1483709207.595,3.537,-0.045,-3.888,0
1483709207.615,2.624,0.875,-3.193,0
1483709207.635,2.221,0.449,-3.148,0
1483709207.654,2.131,-0.927,-2.834,0
1483709207.674,2.318,-2.258,-2.467,0
1483709207.694,3.028,-2.026,-2.976,0
1483709207.714,3.462,-0.935,-4.224,0
1483709207.733,4.112,-0.254,-5.787,0
1483709207.753,3.716,-0.217,-6.213,0
1483709207.773,2.617,-0.464,-5.338,0
1483709207.792,2.064,-0.426,-4.247,0
1483709207.812,1.824,-0.621,-3.297,0
1483709207.832,2.221,-1.234,-2.602,0
1483709207.852,2.594,-1.712,-2.325,0
1483709207.871,2.422,-1.323,-2.325,0
1483709207.891,1.936,0.060,-2.265,0
1483709207.911,2.026,1.249,-2.236,0
1483709207.930,2.146,0.912,-2.437,0
1483709207.950,1.892,-0.920,-2.894,0
1483709207.970,1.548,-2.079,-3.163,0
1483709207.989,1.301,-1.794,-3.432,1
1483709208.009,1.323,-0.673,-3.462,0
1483709208.029,1.608,0.142,-3.118,0
1483709208.049,1.652,-0.135,-2.968,0
1483709208.068,1.361,-0.673,-3.193,0
1483709208.088,1.645,-1.122,-3.918,0
1483709208.108,2.183,-1.443,-4.770,0
1483709208.127,2.116,-1.608,-4.591,0
1483709208.147,1.914,-0.994,-3.492,0
1483709208.167,1.645,-0.090,-2.243,0
1483709208.187,1.690,0.030,-1.936,0
1483709208.206,1.637,-0.508,-2.116,0
1483709208.226,1.024,-1.084,-2.490,0
1483709208.246,0.389,-0.628,-2.602,0
1483709208.265,0.232,-0.172,-1.966,0
1483709208.285,0.680,-0.172,-1.473,0
1483709208.305,1.234,-0.381,-1.735,0
1483709208.324,1.593,-0.755,-2.213,0
1483709208.344,1.555,-0.965,-2.587,0
1483709208.364,1.398,-1.077,-2.976,0
1483709208.384,1.772,-0.822,-3.223,0
1483709208.403,2.243,-0.935,-3.065,0
1483709208.423,1.772,-0.329,-2.737,0
1483709208.443,1.069,0.508,-2.393,0
1483709208.462,0.800,0.538,-2.011,0
1483709208.482,0.763,-0.112,-1.593,0
1483709208.502,0.927,-0.471,-1.443,0
1483709208.522,0.793,-0.090,-1.122,0
1483709208.541,0.613,0.464,-0.561,0
1483709208.561,0.314,0.643,-0.187,0
1483709208.581,0.142,0.531,-0.284,0
1483709208.600,0.374,0.262,-0.733,0
1483709208.620,0.621,-0.322,-1.279,0
1483709208.640,1.136,-1.092,-2.310,0
1483709208.659,1.383,-1.862,-3.566,0
1483709208.679,1.817,-1.936,-4.598,0
1483709208.699,2.101,-1.458,-5.077,0
1483709208.719,1.951,-1.264,-5.219,0
1483709208.738,1.645,-1.630,-5.084,0
1483709208.758,1.615,-1.682,-4.576,0
1483709208.778,1.256,-1.151,-3.409,0
1483709208.797,0.628,0.284,-1.428,0
1483709208.817,0.045,2.123,1.585,0
1483709208.837,-0.262,3.088,4.337,0
1483709208.857,-0.150,2.901,5.929,0
1483709208.876,0.277,2.041,6.004,0
1483709208.896,0.665,1.189,4.905,0
1483709208.916,0.778,0.262,2.983,0
1483709208.935,1.009,-1.084,0.307,0
1483709208.955,1.398,-1.981,-2.587,0
1483709208.975,1.697,-2.288,-4.905,0
1483709208.994,1.809,-1.959,-6.191,0
1483709209.014,1.907,-1.286,-6.258,0
1483709209.034,1.907,-0.538,-4.980,0
1483709209.054,1.757,0.097,-2.654,0
1483709209.073,1.757,0.486,-0.067,0
1483709209.093,2.019,0.793,2.049,0
1483709209.113,2.557,1.032,3.753,0
1483709209.132,2.946,1.615,4.486,0
1483709209.152,3.589,2.318,4.314,0
1483709209.172,4.224,2.236,3.275,0
1483709209.192,3.753,2.071,1.892,0
1483709209.211,3.065,1.540,0.396,0
1483709209.231,2.789,0.299,-1.017,0
1483709209.251,2.422,-0.411,-1.922,0
1483709209.270,1.914,-0.591,-2.288,2
1483709209.290,1.323,-0.553,-2.094,0
1483709209.310,1.092,-0.344,-1.660,0
1483709209.330,1.174,-0.269,-0.987,0
1483709209.349,1.062,-0.090,-0.269,0
1483709209.369,0.830,0.172,0.142,0
1483709209.389,0.553,0.194,0.523,0
1483709209.408,0.673,0.419,0.852,0
1483709209.428,0.927,0.516,0.935,0
1483709209.448,1.174,0.232,1.062,0
1483709209.467,1.092,-0.322,0.957,0
1483709209.487,0.860,-0.658,0.591,0
1483709209.507,0.890,-0.553,0.037,0
1483709209.527,1.271,-0.396,-0.389,0
1483709209.546,1.593,-0.209,-0.748,0
1483709209.566,1.533,-0.329,-0.845,0
1483709209.586,1.136,-0.718,-1.047,0
1483709209.605,1.353,-0.636,-1.226,0
1483709209.625,1.608,-0.292,-1.495,0
1483709209.645,1.436,-0.254,-1.757,0
1483709209.665,1.114,-0.411,-1.914,0
1483709209.684,1.009,-0.449,-2.153,0
1483709209.704,0.957,-0.381,-2.460,0
1483709209.724,0.718,-0.322,-2.579,0
1483709209.743,0.553,-0.419,-2.781,0
1483709209.763,0.576,-0.434,-3.140,3
1483709209.783,0.493,-0.269,-3.424,0
1483709209.802,0.232,-0.209,-3.611,0
1483709209.822,-0.105,-0.329,-3.551,0
1483709209.842,-0.396,-0.336,-3.342,0
1483709209.862,-0.546,-0.314,-3.290,0
1483709209.881,-0.307,-0.082,-3.140,0
1483709209.901,0.097,-0.344,-3.036,0
1483709209.921,0.598,-0.583,-3.036,0
1483709209.940,0.262,-0.067,-3.133,0
1483709209.960,-0.314,0.344,-3.342,0
1483709209.980,-0.381,0.194,-3.544,0
1483709210.000,-0.247,-0.022,-3.574,0
1483709210.019,0.150,-0.299,-3.492,0
1483709210.039,0.598,-0.329,-3.275,0
1483709210.059,0.927,-0.449,-3.006,0
1483709210.078,1.196,-0.359,-2.879,0
1483709210.098,0.957,-0.329,-3.013,0
