timestamps,X,Y,Z,Marker0
1483718801.090,-0.269,0.553,-1.615,0
1483718801.110,-0.164,0.157,-1.331,0
1483718801.129,0.232,-0.037,-1.480,0
1483718801.149,0.254,-0.164,-1.555,0
1483718801.169,0.007,0.022,-1.750,0
1483718801.188,-0.374,0.284,-1.892,0
1483718801.208,-0.187,0.194,-1.899,0
1483718801.228,0.187,-0.007,-1.869,0
1483718801.247,0.486,0.037,-1.839,0
1483718801.267,0.501,-0.082,-2.011,0
1483718801.287,0.493,-0.292,-2.662,0
1483718801.307,0.142,0.142,-3.200,0
1483718801.326,-0.434,0.516,-3.073,0
1483718801.346,-0.254,0.381,-2.774,0
1483718801.366,0.075,-0.060,-2.108,0
1483718801.385,0.381,-0.194,-1.458,0
1483718801.405,0.434,0.015,-1.144,0
1483718801.425,-0.007,0.022,-1.241,0
1483718801.445,-0.202,-0.082,-1.637,0
1483718801.464,-0.254,-0.194,-1.847,0
1483718801.484,-0.052,-0.157,-2.094,0
1483718801.504,0.262,0.202,-2.251,0
1483718801.523,0.299,0.179,-2.221,0
1483718801.543,0.224,0.135,-2.168,0
1483718801.563,0.164,0.097,-2.183,0
1483718801.582,-0.112,0.052,-2.131,0
1483718801.602,-0.269,0.090,-2.206,0
1483718801.622,-0.322,0.254,-2.333,0
1483718801.642,-0.299,0.411,-2.415,0
1483718801.661,-0.097,0.591,-2.288,0
1483718801.681,-0.164,0.793,-1.944,0
1483718801.701,-0.486,0.890,-1.787,1
1483718801.720,-0.546,0.845,-1.944,0
1483718801.740,-0.897,0.636,-2.153,0
1483718801.760,-1.136,0.546,-2.422,0
1483718801.780,-0.882,0.650,-2.422,0
1483718801.799,-0.748,0.546,-2.183,0
1483718801.819,-0.486,0.606,-2.071,0
1483718801.839,-0.471,0.650,-1.892,0
1483718801.858,-0.479,0.553,-1.862,0
1483718801.878,-0.277,0.426,-1.862,0
1483718801.898,-0.479,0.374,-1.854,0
1483718801.917,-0.621,0.493,-2.064,0
1483718801.937,-0.501,0.538,-2.348,0
1483718801.957,-0.209,0.239,-3.036,0
1483718801.977,-0.441,0.284,-3.559,0
1483718801.996,-0.650,0.381,-3.574,0
1483718802.016,-0.120,0.127,-3.267,0
1483718802.036,0.209,-0.239,-2.864,0
1483718802.055,0.082,-0.045,-2.579,0
1483718802.075,-0.052,0.344,-2.340,0
1483718802.095,-0.449,0.299,-2.236,0
1483718802.115,-0.680,0.232,-2.168,0
1483718802.134,-0.740,0.082,-2.101,0
1483718802.154,-0.740,-0.097,-2.198,0
1483718802.174,-0.441,0.194,-2.340,0
1483718802.193,-0.344,0.277,-2.243,0
1483718802.213,-0.172,0.224,-2.318,0
1483718802.233,-0.336,0.307,-2.542,0
1483718802.253,-0.501,0.314,-2.677,0
1483718802.272,-0.419,0.269,-2.789,0
1483718802.292,-0.277,0.150,-2.923,0
1483718802.312,-0.254,0.217,-2.841,0
1483718802.331,-0.239,0.187,-2.669,0
1483718802.351,0.105,0.359,-2.647,0
1483718802.371,-0.075,0.322,-2.699,0
1483718802.390,-0.411,0.135,-2.991,0
1483718802.410,-0.441,0.075,-3.380,0
1483718802.430,-0.314,-0.045,-3.551,0
1483718802.450,-0.307,0.015,-3.305,0
1483718802.469,-0.725,0.105,-2.849,0
1483718802.489,-0.778,0.135,-2.512,0
1483718802.509,-0.493,0.187,-1.974,0
1483718802.528,-0.366,0.232,-1.765,0
1483718802.548,-0.411,0.464,-1.750,0
1483718802.568,-0.351,0.374,-1.877,0
1483718802.588,-0.090,0.269,-2.101,0
1483718802.607,-0.187,0.120,-2.168,0
1483718802.627,-0.157,-0.045,-2.206,0
1483718802.647,0.037,-0.015,-2.348,0
1483718802.666,0.015,-0.209,-2.475,0
1483718802.686,-0.733,-0.090,-2.565,0
1483718802.706,-1.204,0.232,-2.056,0
1483718802.725,-0.867,-0.232,-1.727,0
1483718802.745,-0.538,-0.703,-1.794,0
1483718802.765,-0.336,-0.419,-1.892,0
1483718802.785,-0.150,0.060,-1.929,0
1483718802.804,-0.142,0.292,-1.809,0
1483718802.824,-0.209,0.030,-1.720,0
1483718802.844,-0.052,-0.075,-1.787,0
1483718802.863,-0.127,-0.164,-2.011,0
1483718802.883,-0.307,0.082,-2.198,0
1483718802.903,-0.493,0.292,-2.378,0
1483718802.923,-0.508,0.254,-2.542,0
1483718802.942,-0.441,0.022,-2.632,0
1483718802.962,-0.650,-0.112,-2.355,2
1483718802.982,-0.755,-0.052,-1.847,0
1483718803.001,-0.636,0.075,-1.473,0
1483718803.021,-0.404,0.120,-1.331,0
1483718803.041,-0.239,0.120,-1.465,0
1483718803.061,-0.030,0.037,-1.862,0
1483718803.080,-0.120,0.007,-2.303,0
1483718803.100,-0.209,0.045,-2.849,0
1483718803.120,-0.269,0.090,-2.976,0
1483718803.139,-0.150,0.067,-2.647,0
