timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1483523502.258,37.598,36.621,33.691,33.691,10.254,0
1483523502.262,33.203,30.762,31.738,28.809,59.570,0
1483523502.266,27.344,20.996,20.508,24.902,66.406,0
1483523502.270,28.320,22.461,20.996,25.879,46.387,0
1483523502.274,35.156,33.691,29.785,32.715,41.992,0
1483523502.278,36.621,38.574,29.297,35.156,8.789,0
1483523502.282,44.434,39.062,30.273,39.062,21.973,0
1483523502.286,51.270,38.086,33.203,44.922,1.953,0
1483523502.290,48.340,36.621,39.551,46.387,-20.996,0
1483523502.294,54.199,41.992,46.387,47.852,8.301,0
1483523502.297,54.199,38.086,39.062,41.016,21.973,0
1483523502.301,47.852,28.809,27.832,36.133,27.832,0
1483523502.305,51.758,32.227,27.344,37.109,18.555,0
1483523502.309,50.293,34.668,26.367,36.133,35.156,0
1483523502.313,48.828,35.156,26.855,44.922,33.691,0
1483523502.317,49.805,38.574,32.227,45.410,3.418,0
1483523502.321,52.246,39.551,37.598,46.875,1.465,0
1483523502.325,51.270,35.645,34.668,51.758,9.277,0
1483523502.329,49.316,31.250,29.785,45.410,26.367,0
1483523502.333,46.387,29.785,27.344,40.039,15.625,0
1483523502.336,39.551,28.809,23.438,35.645,20.508,0
1483523502.340,37.109,29.297,26.855,32.227,60.059,0
1483523502.344,42.480,35.645,40.527,42.969,73.242,0
1483523502.348,40.039,35.156,43.457,45.898,71.289,0
1483523502.352,36.621,34.180,36.621,41.504,72.266,0
1483523502.356,36.621,34.668,34.180,37.598,43.945,0
1483523502.360,32.227,27.344,30.762,24.902,11.719,0
1483523502.364,31.250,24.902,30.762,23.926,40.527,0
1483523502.368,33.203,27.832,32.715,26.367,65.430,0
1483523502.372,32.227,29.297,29.785,27.832,15.625,0
1483523502.376,32.715,31.250,28.809,30.762,-10.254,0
1483523502.379,32.715,25.391,28.809,28.809,-11.719,0
1483523502.383,28.809,22.949,31.738,28.809,23.926,0
1483523502.387,30.273,27.344,34.180,31.738,59.082,0
1483523502.391,40.039,31.738,41.016,37.109,47.363,0
1483523502.395,41.016,31.738,41.992,35.645,16.602,0
1483523502.399,31.250,28.809,34.668,29.297,39.062,0
