timestamps,X,Y,Z,Marker0
1483453774.173,-0.923,0.322,-0.227,0
1483453774.193,-0.915,0.320,-0.228,0
1483453774.212,-0.912,0.319,-0.227,0
1483453774.232,-0.917,0.321,-0.226,0
1483453774.252,-0.919,0.322,-0.224,0
1483453774.272,-0.916,0.317,-0.222,0
1483453774.291,-0.914,0.316,-0.222,0
1483453774.311,-0.916,0.315,-0.223,0
1483453774.331,-0.916,0.311,-0.227,0
1483453774.350,-0.914,0.309,-0.227,0
1483453774.370,-0.913,0.310,-0.224,0
1483453774.390,-0.917,0.314,-0.225,0
1483453774.409,-0.919,0.318,-0.224,0
1483453774.429,-0.918,0.321,-0.225,0
1483453774.449,-0.919,0.321,-0.224,0
1483453774.469,-0.919,0.318,-0.225,0
1483453774.488,-0.916,0.312,-0.226,0
1483453774.508,-0.912,0.311,-0.228,0
1483453774.528,-0.915,0.312,-0.225,0
1483453774.547,-0.918,0.316,-0.223,0
1483453774.567,-0.916,0.317,-0.224,0
1483453774.587,-0.916,0.318,-0.225,0
1483453774.606,-0.917,0.317,-0.224,0
1483453774.626,-0.917,0.316,-0.227,0
1483453774.646,-0.916,0.315,-0.229,0
1483453774.665,-0.916,0.314,-0.228,0
1483453774.685,-0.916,0.315,-0.224,0
1483453774.705,-0.915,0.315,-0.222,0
1483453774.725,-0.916,0.316,-0.221,0
1483453774.744,-0.917,0.318,-0.222,0
1483453774.764,-0.916,0.318,-0.225,0
1483453774.784,-0.916,0.321,-0.225,0
1483453774.803,-0.915,0.322,-0.223,0
1483453774.823,-0.912,0.323,-0.224,0
1483453774.843,-0.913,0.324,-0.222,0
1483453774.862,-0.912,0.324,-0.223,0
1483453774.882,-0.913,0.324,-0.224,0
1483453774.902,-0.911,0.327,-0.223,0
1483453774.922,-0.913,0.324,-0.225,0
1483453774.941,-0.915,0.328,-0.223,0
1483453774.961,-0.916,0.329,-0.224,1
1483453774.981,-0.911,0.331,-0.225,0
1483453775.000,-0.912,0.333,-0.225,0
1483453775.020,-0.913,0.340,-0.222,0
1483453775.040,-0.912,0.340,-0.221,0
1483453775.059,-0.912,0.339,-0.223,0
1483453775.079,-0.912,0.337,-0.222,0
1483453775.099,-0.906,0.333,-0.222,0
1483453775.119,-0.909,0.333,-0.223,0
1483453775.138,-0.913,0.337,-0.223,0
1483453775.158,-0.912,0.341,-0.223,0
1483453775.178,-0.909,0.343,-0.220,0
1483453775.197,-0.909,0.343,-0.221,0
1483453775.217,-0.913,0.341,-0.222,0
1483453775.237,-0.912,0.337,-0.222,0
1483453775.256,-0.910,0.332,-0.224,0
1483453775.276,-0.908,0.326,-0.223,0
1483453775.296,-0.910,0.328,-0.220,0
1483453775.315,-0.909,0.328,-0.218,0
1483453775.335,-0.909,0.330,-0.219,0
1483453775.355,-0.911,0.337,-0.218,0
1483453775.375,-0.909,0.337,-0.222,0
1483453775.394,-0.913,0.337,-0.221,0
1483453775.414,-0.913,0.339,-0.224,0
1483453775.434,-0.912,0.340,-0.224,0
1483453775.453,-0.909,0.341,-0.225,0
1483453775.473,-0.906,0.340,-0.223,0
1483453775.493,-0.907,0.339,-0.220,0
1483453775.512,-0.904,0.341,-0.224,0
1483453775.532,-0.910,0.343,-0.220,0
1483453775.552,-0.909,0.343,-0.222,0
1483453775.572,-0.903,0.342,-0.224,0
1483453775.591,-0.908,0.345,-0.217,0
1483453775.611,-0.911,0.349,-0.221,0
1483453775.631,-0.913,0.352,-0.224,0
1483453775.650,-0.908,0.351,-0.225,0
1483453775.670,-0.905,0.351,-0.224,0
1483453775.690,-0.906,0.349,-0.222,0
1483453775.709,-0.903,0.347,-0.221,0
1483453775.729,-0.902,0.345,-0.222,0
1483453775.749,-0.908,0.347,-0.222,0
1483453775.769,-0.903,0.350,-0.223,0
1483453775.788,-0.901,0.351,-0.223,0
1483453775.808,-0.901,0.356,-0.223,0
1483453775.828,-0.903,0.356,-0.222,0
1483453775.847,-0.898,0.360,-0.222,0
1483453775.867,-0.900,0.362,-0.224,0
1483453775.887,-0.909,0.366,-0.223,0
