timestamps,X,Y,Z,Marker0
1505772170.874,-0.814,0.562,-0.185,0
1505772170.894,-0.812,0.558,-0.184,0
1505772170.914,-0.808,0.557,-0.184,0
1505772170.933,-0.804,0.554,-0.184,0
1505772170.953,-0.803,0.554,-0.184,0
1505772170.973,-0.802,0.553,-0.184,0
1505772170.992,-0.807,0.555,-0.186,0
1505772171.012,-0.809,0.558,-0.186,0
1505772171.032,-0.812,0.558,-0.186,0
1505772171.052,-0.815,0.556,-0.186,0
1505772171.071,-0.812,0.557,-0.191,0
1505772171.091,-0.807,0.558,-0.189,0
1505772171.111,-0.805,0.556,-0.183,0
1505772171.130,-0.803,0.554,-0.184,0
1505772171.150,-0.804,0.554,-0.184,0
1505772171.170,-0.805,0.553,-0.182,0
1505772171.190,-0.807,0.556,-0.183,0
1505772171.209,-0.810,0.556,-0.183,0
1505772171.229,-0.812,0.561,-0.185,0
1505772171.249,-0.813,0.561,-0.184,0
1505772171.268,-0.816,0.563,-0.184,0
1505772171.288,-0.816,0.560,-0.185,0
1505772171.308,-0.815,0.559,-0.187,0
1505772171.327,-0.815,0.559,-0.182,0
1505772171.347,-0.820,0.557,-0.184,0
1505772171.367,-0.826,0.556,-0.183,0
1505772171.387,-0.824,0.559,-0.192,0
1505772171.406,-0.830,0.548,-0.186,0
1505772171.426,-0.837,0.534,-0.183,0
1505772171.446,-0.847,0.527,-0.183,0
1505772171.465,-0.860,0.529,-0.183,0
1505772171.485,-0.872,0.529,-0.187,0
1505772171.505,-0.898,0.511,-0.191,0
1505772171.525,-0.949,0.489,-0.188,0
1505772171.544,-1.038,0.471,-0.190,0
1505772171.564,-1.032,0.482,-0.180,0
1505772171.584,-1.021,0.428,-0.152,0
1505772171.603,-0.956,0.396,-0.177,0
1505772171.623,-0.880,0.383,-0.156,0
1505772171.643,-0.828,0.320,-0.171,0
1505772171.662,-0.998,0.249,-0.196,0
1505772171.682,-0.829,0.205,-0.140,0
1505772171.702,-0.851,0.149,-0.187,1
1505772171.722,-0.801,0.153,-0.128,0
1505772171.741,-0.858,0.076,-0.193,0
