timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1508319878.440,3.418,31.250,30.762,42.480,59.082,0
1508319878.444,10.254,31.738,34.180,43.945,26.855,0
1508319878.448,3.418,30.273,33.691,43.945,24.414,0
1508319878.452,2.930,38.086,36.133,38.086,73.730,0
1508319878.456,15.137,41.016,32.227,38.086,90.820,0
1508319878.460,24.414,41.504,34.668,43.457,31.738,0
1508319878.464,23.926,37.598,38.574,38.574,-0.488,0
1508319878.468,23.438,35.645,34.668,37.598,38.574,0
1508319878.472,27.832,41.992,30.273,40.039,53.711,0
1508319878.476,31.738,45.410,28.809,40.039,22.461,0
1508319878.479,28.809,42.969,33.691,45.410,10.742,0
1508319878.483,32.227,37.109,37.598,47.363,15.625,0
1508319878.487,31.738,34.180,36.621,40.039,40.527,0
1508319878.491,26.367,36.621,34.180,38.574,79.102,0
1508319878.495,25.879,46.387,34.668,47.852,20.508,0
1508319878.499,25.391,43.945,29.785,42.480,-16.602,0
1508319878.503,28.809,29.297,25.391,33.203,20.020,0
1508319878.507,31.738,34.180,29.785,36.133,41.504,0
1508319878.511,40.039,43.457,39.062,47.852,33.691,0
1508319878.515,34.668,49.316,35.645,52.246,-10.254,0
1508319878.519,30.273,51.270,26.367,50.781,15.137,0
1508319878.522,38.574,41.504,38.574,41.992,109.375,0
1508319878.526,38.574,45.898,50.293,30.273,62.500,0
1508319878.530,27.832,42.969,52.246,30.273,-3.418,0
1508319878.534,22.949,34.668,50.293,29.297,27.344,0
1508319878.538,27.344,37.109,49.316,30.273,54.199,0
1508319878.542,27.344,37.109,45.410,39.551,38.086,0
1508319878.546,24.414,35.156,37.109,41.504,-10.742,0
1508319878.550,30.273,34.668,41.016,42.480,30.273,0
1508319878.554,28.320,36.621,43.945,40.039,61.035,0
1508319878.558,24.414,39.062,46.387,35.645,45.898,0
1508319878.562,35.645,47.852,45.898,42.480,12.207,0
1508319878.565,29.785,47.852,39.062,45.410,8.301,0
1508319878.569,22.949,43.945,46.875,37.109,47.363,0
1508319878.573,33.691,42.969,56.152,38.086,51.270,0
1508319878.577,45.898,38.574,50.781,42.969,36.621,0
1508319878.581,43.945,37.598,38.086,36.621,25.879,0
1508319878.585,34.180,41.504,34.180,32.227,55.664,0
1508319878.589,36.621,41.992,34.180,37.598,89.844,0
1508319878.593,38.574,38.574,35.156,39.551,28.320,0
1508319878.597,40.527,39.551,38.086,35.645,-19.531,0
1508319878.601,41.016,40.527,38.574,34.668,30.762,0
1508319878.604,36.621,39.062,33.203,31.250,48.340,0
1508319878.608,30.273,37.109,34.180,28.320,26.367,0
1508319878.612,28.320,36.133,47.363,33.691,31.738,0
1508319878.616,32.715,34.668,50.781,36.621,27.832,0
1508319878.620,40.527,38.086,47.852,40.039,42.969,0
1508319878.624,34.668,39.062,45.410,36.133,41.992,0
1508319878.628,37.109,41.016,48.828,30.762,23.438,0
1508319878.632,41.504,38.086,50.781,36.133,15.625,0
1508319878.636,31.738,36.133,50.293,38.574,67.871,0
1508319878.640,30.762,39.551,49.316,41.016,98.145,0
1508319878.644,33.691,37.598,44.434,41.504,12.695,0
1508319878.647,33.203,36.621,35.156,39.062,-15.625,0
1508319878.651,24.414,39.062,29.785,35.156,30.273,0
1508319878.655,20.996,37.598,39.062,35.645,62.500,0
1508319878.659,18.555,32.715,49.316,35.645,54.199,0
1508319878.663,11.719,34.668,48.340,30.762,-0.977,0
1508319878.667,22.949,41.016,44.922,29.785,37.109,0
1508319878.671,28.809,40.527,49.316,31.738,94.238,0
1508319878.675,25.879,38.574,47.852,33.203,62.500,0
1508319878.679,28.320,43.945,42.480,36.133,-10.742,0
1508319878.683,25.879,39.062,37.598,30.762,-25.391,0
1508319878.687,25.879,42.969,30.273,22.949,50.781,0
1508319878.690,27.832,40.527,29.297,28.320,93.750,0
1508319878.694,24.902,35.645,41.016,31.738,14.160,0
1508319878.698,26.367,42.969,41.016,27.344,-33.203,0
1508319878.702,27.344,43.945,28.320,24.414,25.391,0
1508319878.706,34.180,48.340,37.598,28.809,44.922,0
1508319878.710,43.945,50.781,47.363,36.621,9.277,0
1508319878.714,46.387,45.898,44.922,41.016,14.648,0
1508319878.718,45.898,46.875,42.969,35.645,78.125,0
1508319878.722,40.527,48.340,37.109,30.762,60.547,0
1508319878.726,40.039,47.852,37.109,31.738,8.789,0
1508319878.729,41.992,48.340,37.598,34.668,7.324,0
1508319878.733,40.039,43.945,34.180,35.156,63.477,0
1508319878.737,35.645,48.828,32.227,32.227,67.871,0
1508319878.741,24.414,45.898,35.156,32.715,27.344,0
1508319878.745,22.461,33.203,36.621,29.297,9.766,0
1508319878.749,27.344,28.809,41.016,30.762,27.832,0
1508319878.753,21.973,34.180,50.781,38.574,40.039,0
1508319878.757,19.043,41.504,52.734,33.691,18.066,0
1508319878.761,22.949,41.016,56.152,24.902,21.484,0
1508319878.765,18.066,42.969,52.734,31.738,42.480,0
1508319878.769,11.230,35.645,40.039,36.133,78.613,0
1508319878.772,15.137,27.344,38.574,37.109,49.805,0
1508319878.776,24.902,34.180,37.598,43.945,23.926,0
1508319878.780,29.297,36.133,40.527,50.781,30.273,0
1508319878.784,28.809,33.691,46.875,51.758,25.391,0
1508319878.788,35.156,36.133,48.828,44.922,29.785,0
1508319878.792,35.645,38.574,44.434,38.086,25.879,0
1508319878.796,28.809,42.969,42.969,31.738,22.949,0
1508319878.800,32.715,43.945,43.457,35.645,-1.465,0
1508319878.804,37.109,41.992,31.738,40.039,15.137,0
1508319878.808,38.574,37.109,33.203,39.062,64.453,0
1508319878.812,35.645,28.320,39.062,29.297,20.996,0
1508319878.815,27.832,28.809,35.645,32.227,5.371,0
1508319878.819,35.645,39.551,43.457,44.434,46.387,0
1508319878.823,38.574,44.434,41.992,36.621,55.176,0
1508319878.827,33.203,46.875,30.273,26.855,36.621,0
1508319878.831,31.250,46.387,37.109,26.855,-3.906,0
1508319878.835,26.855,44.434,37.109,30.273,21.484,0
1508319878.839,30.273,39.062,43.945,36.133,60.547,0
1508319878.843,35.645,32.715,56.641,44.434,23.438,0
1508319878.847,29.785,36.133,50.293,43.457,-17.090,0
1508319878.851,27.344,39.062,41.016,40.039,8.789,0
1508319878.854,33.691,44.434,33.691,47.363,37.598,0
1508319878.858,34.668,41.992,31.738,45.410,6.348,0
1508319878.862,27.832,43.457,41.016,46.387,-18.555,0
1508319878.866,27.344,43.945,45.898,51.758,29.297,0
1508319878.870,25.879,39.062,35.645,44.434,58.105,0
1508319878.874,26.367,40.527,43.457,48.340,64.453,0
1508319878.878,28.320,34.668,53.223,47.852,57.617,0
1508319878.882,31.738,35.645,49.805,45.410,23.926,0
1508319878.886,36.621,36.621,46.387,45.898,35.645,0
1508319878.890,33.203,28.809,43.457,47.363,13.672,0
1508319878.894,32.715,36.621,49.805,53.711,-27.832,0
1508319878.897,35.156,39.551,44.434,45.410,6.836,0
1508319878.901,36.621,35.156,36.133,42.480,48.340,0
1508319878.905,34.668,39.551,33.691,44.434,58.105,0
1508319878.909,32.227,41.016,33.203,35.645,42.969,0
1508319878.913,41.504,41.504,40.527,30.762,28.809,0
1508319878.917,37.598,39.062,39.062,35.645,20.996,0
