timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1508216389.635,18.555,63.477,29.297,16.602,39.551,0
1508216389.639,22.461,46.875,31.250,20.020,24.414,0
1508216389.643,26.855,44.434,40.527,23.926,25.391,0
1508216389.647,27.344,36.621,32.227,26.367,21.484,0
1508216389.651,34.180,20.020,27.832,32.227,18.555,0
1508216389.654,32.227,44.434,33.691,39.551,30.273,0
1508216389.658,33.691,51.758,32.227,43.457,5.859,0
1508216389.662,36.621,35.156,32.715,41.016,8.301,0
1508216389.666,23.438,32.715,32.227,33.691,30.762,0
1508216389.670,25.391,30.273,32.227,37.598,22.461,0
1508216389.674,29.785,29.785,31.250,39.551,13.184,0
1508216389.678,29.785,40.527,29.785,32.715,-8.789,0
1508216389.682,32.715,45.410,29.297,35.156,37.109,0
1508216389.686,32.715,34.668,35.645,33.691,41.504,0
1508216389.690,32.227,27.344,32.715,28.320,5.371,0
1508216389.693,26.367,43.457,22.461,28.320,12.695,0
1508216389.697,35.156,49.805,27.344,39.062,15.625,0
1508216389.701,52.734,45.898,33.203,50.781,42.969,0
1508216389.705,44.922,42.969,28.320,38.574,13.672,0
1508216389.709,37.109,45.410,26.367,20.508,-9.277,0
1508216389.713,36.133,37.598,28.320,27.832,43.945,0
1508216389.717,33.691,24.902,32.715,45.898,61.035,0
1508216389.721,35.156,26.855,35.645,42.480,45.898,0
1508216389.725,37.109,42.480,35.156,31.250,32.715,0
1508216389.729,41.992,54.688,29.785,32.227,49.805,0
1508216389.733,49.316,35.156,29.785,40.527,40.527,0
1508216389.736,48.340,18.555,38.574,46.387,16.113,0
1508216389.740,45.898,42.480,42.480,47.852,27.344,0
1508216389.744,55.664,51.758,41.992,50.293,39.062,0
1508216389.748,60.547,39.062,38.574,52.246,30.762,0
1508216389.752,68.848,41.992,45.410,52.734,-3.906,0
1508216389.756,69.824,50.781,46.875,54.199,-22.461,0
1508216389.760,65.430,53.223,36.133,59.082,9.277,0
1508216389.764,65.918,46.875,37.109,67.871,29.297,0
1508216389.768,54.199,44.922,40.039,61.523,6.348,0
1508216389.772,56.641,33.691,36.621,53.223,19.531,0
1508216389.776,64.941,24.414,44.922,61.035,4.883,0
1508216389.779,61.035,37.598,45.898,62.012,7.324,0
1508216389.783,53.711,30.273,40.039,55.664,23.438,0
1508216389.787,46.875,24.414,41.504,60.059,17.090,0
1508216389.791,52.246,47.363,38.086,63.477,37.109,0
1508216389.795,58.105,51.758,34.668,58.594,40.039,0
1508216389.799,42.480,45.410,39.551,48.828,12.695,0
1508216389.803,34.180,44.922,53.711,51.270,14.160,0
1508216389.807,32.715,32.715,48.828,51.758,-6.836,0
1508216389.811,33.691,28.809,34.180,38.086,-25.879,0
1508216389.815,34.668,23.926,25.879,33.691,17.578,0
1508216389.818,32.227,18.066,26.367,35.156,46.387,0
1508216389.822,36.133,29.297,33.203,39.551,40.527,0
1508216389.826,36.133,42.969,31.738,43.945,42.480,0
1508216389.830,33.691,42.480,40.039,50.293,26.367,0
1508216389.834,40.527,30.762,46.387,49.316,19.043,0
1508216389.838,38.574,33.691,40.039,39.062,42.969,0
1508216389.842,36.133,41.016,34.180,38.086,25.879,0
1508216389.846,41.992,41.016,32.227,43.945,45.410,0
1508216389.850,41.992,38.086,35.156,46.875,73.242,0
1508216389.854,42.969,23.438,36.621,46.387,27.832,0
1508216389.858,50.293,25.879,36.133,50.293,6.348,0
1508216389.861,59.082,52.246,40.039,57.617,1.953,0
1508216389.865,52.734,31.738,35.156,57.617,18.555,0
1508216389.869,48.828,8.789,29.297,56.152,33.203,0
1508216389.873,51.758,39.062,29.785,47.363,6.348,0
1508216389.877,54.199,49.805,27.832,51.758,28.809,0
1508216389.881,52.734,41.016,30.762,62.988,55.176,0
1508216389.885,45.410,39.062,35.156,59.570,39.062,0
1508216389.889,45.898,40.527,37.598,43.457,17.090,0
1508216389.893,49.316,39.062,41.504,41.016,-16.113,0
1508216389.897,51.758,40.527,35.156,48.340,21.973,0
1508216389.901,54.199,45.410,27.344,50.781,17.578,0
1508216389.904,60.547,48.340,41.016,61.035,-22.949,0
1508216389.908,59.570,39.551,50.781,70.801,23.926,0
1508216389.912,54.199,21.973,50.293,70.312,48.828,0
1508216389.916,43.945,25.391,48.340,59.082,41.992,0
1508216389.920,41.504,27.832,46.875,53.223,44.434,0
1508216389.924,54.199,29.785,46.875,62.500,3.418,0
1508216389.928,56.152,26.367,44.434,58.594,2.441,0
1508216389.932,47.363,26.367,42.969,51.270,23.438,0
1508216389.936,44.922,23.438,47.363,55.664,24.414,0
1508216389.940,52.246,16.602,48.340,57.129,20.508,0
1508216389.943,52.246,28.809,39.062,55.176,24.414,0
1508216389.947,48.828,32.227,38.086,54.688,9.766,0
1508216389.951,52.246,29.297,41.504,58.594,-0.488,0
1508216389.955,54.688,20.996,44.922,63.965,24.902,0
1508216389.959,54.688,22.461,52.246,74.707,46.387,0
1508216389.963,47.363,26.855,52.246,72.754,41.992,0
1508216389.967,54.688,24.902,50.781,66.406,37.109,0
1508216389.971,60.059,28.809,50.293,67.871,30.762,0
1508216389.975,51.758,27.344,46.875,70.801,24.414,0
1508216389.979,51.758,27.344,42.480,74.219,55.664,0
1508216389.983,54.688,23.926,45.898,73.730,67.871,0
1508216389.986,51.270,29.785,52.246,69.336,48.828,0
1508216389.990,52.734,34.180,50.781,71.777,-3.418,0
1508216389.994,61.523,23.438,45.898,73.242,-20.996,0
1508216389.998,59.082,25.879,44.922,69.824,43.945,0
1508216390.002,51.270,29.785,50.781,70.312,39.551,0
1508216390.006,49.316,18.066,53.223,69.336,0.977,0
1508216390.010,44.922,-4.395,55.176,71.777,9.766,0
1508216390.014,46.387,18.066,58.594,76.660,59.570,0
1508216390.018,42.969,47.852,49.805,67.383,82.031,0
1508216390.022,28.809,35.645,43.945,65.918,18.066,0
1508216390.026,32.227,36.133,49.316,69.336,-4.883,0
1508216390.029,32.715,36.621,45.898,64.453,25.879,0
1508216390.033,35.645,31.250,44.434,66.406,61.523,0
1508216390.037,39.551,29.785,48.340,64.453,44.922,0
1508216390.041,37.598,34.180,48.340,60.059,3.906,0
1508216390.045,41.992,34.668,46.875,59.570,16.602,0
1508216390.049,39.062,31.738,46.875,56.152,39.062,0
1508216390.053,34.668,27.344,42.969,58.594,16.113,0
1508216390.057,41.504,22.461,40.039,64.453,8.301,0
1508216390.061,38.574,24.902,42.969,63.965,20.996,0
1508216390.065,41.016,34.668,48.340,67.383,23.438,0
1508216390.068,39.551,40.039,53.711,70.801,24.902,0
1508216390.072,26.855,40.527,49.805,66.406,28.320,0
1508216390.076,27.344,32.715,44.434,58.105,37.109,0
1508216390.080,35.156,25.391,43.457,54.199,6.348,0
1508216390.084,35.645,27.832,46.875,51.270,-10.254,0
1508216390.088,32.227,32.715,46.387,52.734,34.668,0
1508216390.092,35.156,29.297,46.387,61.523,22.949,0
1508216390.096,32.227,29.785,46.387,58.594,30.273,0
1508216390.100,31.250,39.062,44.922,54.199,31.250,0
1508216390.104,27.832,37.598,43.457,56.641,8.789,0
1508216390.108,30.273,38.574,47.363,54.688,26.367,0
1508216390.111,47.363,39.551,52.246,62.012,33.691,0
1508216390.115,45.898,41.504,47.852,70.312,28.809,0
1508216390.119,35.156,40.039,45.410,68.848,42.480,0
1508216390.123,36.621,24.902,45.898,71.777,10.742,0
1508216390.127,41.504,24.414,44.922,69.336,-14.160,0
1508216390.131,42.480,31.250,40.527,60.059,-1.465,0
1508216390.135,41.504,32.227,36.621,51.270,-1.465,0
1508216390.139,44.922,30.273,39.062,57.617,-40.039,0
1508216390.143,46.875,36.621,38.086,53.711,-38.086,0
1508216390.147,46.875,39.551,35.645,41.504,33.691,0
1508216390.151,49.805,36.621,36.621,47.363,35.645,0
1508216390.154,49.805,26.367,36.621,51.270,8.301,0
1508216390.158,47.363,27.832,36.133,51.270,28.320,0
1508216390.162,50.781,45.898,36.133,43.457,34.180,0
1508216390.166,66.895,51.270,36.621,50.781,51.270,0
1508216390.170,59.082,50.293,37.109,64.453,5.859,0
1508216390.174,32.227,41.992,33.203,49.805,-22.949,0
1508216390.178,29.785,38.086,28.809,32.227,5.371,0
1508216390.182,26.855,34.668,32.227,22.949,14.160,0
1508216390.186,21.484,33.203,34.180,24.902,19.043,0
1508216390.190,23.438,36.621,32.227,34.180,26.367,0
1508216390.193,20.508,27.832,36.621,30.273,33.691,0
1508216390.197,18.555,29.785,33.203,29.297,28.809,0
1508216390.201,14.160,34.668,34.180,27.832,24.902,0
1508216390.205,11.719,33.203,35.156,19.043,0.488,0
1508216390.209,17.578,27.832,31.738,20.020,7.324,0
1508216390.213,25.391,31.738,31.250,23.438,10.254,0
1508216390.217,20.020,24.902,21.973,14.160,24.902,0
1508216390.221,15.137,26.855,21.973,12.695,18.066,0
1508216390.225,19.531,31.738,28.809,26.855,0.977,0
1508216390.229,26.855,31.738,26.367,28.320,11.230,0
1508216390.233,34.668,38.086,28.320,26.855,0.488,0
1508216390.236,36.621,40.527,35.156,33.203,0.488,0
1508216390.240,33.203,51.758,26.855,34.180,28.809,1
1508216390.244,32.227,59.082,21.484,31.250,18.066,0
1508216390.248,33.691,52.246,16.602,32.227,16.113,0
1508216390.252,39.062,39.551,20.020,42.969,41.992,0
1508216390.256,44.922,37.598,32.227,46.875,12.207,0
1508216390.260,51.270,35.645,37.598,45.410,-5.859,0
1508216390.264,49.316,27.832,41.016,37.109,15.625,0
1508216390.268,46.875,31.250,34.668,37.109,21.484,0
1508216390.272,46.875,36.621,28.320,45.410,48.340,0
1508216390.276,41.016,29.297,33.203,54.199,28.320,0
1508216390.279,38.086,31.738,37.109,50.293,0.000,0
1508216390.283,39.551,26.855,45.410,51.270,35.645,0
1508216390.287,39.551,19.043,46.387,59.570,29.785,0
1508216390.291,38.574,31.738,35.156,54.688,14.160,0
1508216390.295,32.715,35.645,40.039,48.828,-2.441,0
1508216390.299,26.367,26.367,47.852,53.223,9.766,0
1508216390.303,18.555,26.855,36.621,50.781,39.062,0
1508216390.307,16.113,36.133,34.668,50.293,20.996,0
1508216390.311,17.090,30.273,44.922,45.410,8.789,0
1508216390.315,14.648,30.273,39.062,33.203,16.602,0
