timestamps,X,Y,Z,Marker0
1492696062.246,0.045,-0.015,-2.437,0
1492696062.266,0.082,-0.075,-2.452,0
1492696062.285,0.022,-0.030,-2.437,0
1492696062.305,-0.007,0.037,-2.452,0
1492696062.325,0.105,0.269,-2.460,0
1492696062.344,-0.022,-0.030,-2.557,0
1492696062.364,0.045,0.022,-2.751,0
1492696062.384,-0.015,0.060,-2.684,0
1492696062.404,-0.037,0.037,-2.497,0
1492696062.423,0.007,0.120,-2.333,0
1492696062.443,0.022,0.157,-2.348,0
1492696062.463,0.037,0.172,-2.228,0
1492696062.482,0.135,0.090,-2.168,0
1492696062.502,-0.007,0.052,-2.161,0
1492696062.522,-0.045,0.022,-2.206,0
1492696062.542,0.007,0.022,-2.176,0
1492696062.561,0.007,0.112,-2.131,0
1492696062.581,0.082,0.150,-2.228,0
1492696062.601,0.075,0.060,-2.318,0
1492696062.620,-0.037,0.037,-2.280,0
1492696062.640,-0.015,0.030,-2.370,0
1492696062.660,-0.097,-0.060,-2.437,0
1492696062.680,-0.097,-0.060,-2.355,0
1492696062.699,-0.015,-0.015,-2.161,0
1492696062.719,0.007,0.090,-2.079,0
1492696062.739,0.015,0.239,-2.101,0
1492696062.758,0.022,0.277,-1.966,0
1492696062.778,0.067,0.307,-1.989,0
1492696062.798,0.082,0.314,-1.974,0
1492696062.817,0.030,0.329,-1.899,0
1492696062.837,0.015,0.247,-1.742,0
1492696062.857,-0.052,0.142,-1.667,0
1492696062.877,-0.067,0.075,-1.540,0
1492696062.896,-0.007,0.164,-1.585,0
1492696062.916,0.067,0.277,-1.697,0
1492696062.936,-0.007,0.254,-1.929,0
1492696062.955,-0.045,0.217,-2.026,0
1492696062.975,-0.075,0.105,-2.116,0
1492696062.995,-0.112,0.179,-2.004,0
1492696063.015,-0.232,-0.120,-2.079,0
1492696063.034,-0.097,-0.015,-2.056,0
1492696063.054,-0.060,-0.120,-2.123,0
1492696063.074,-0.082,-0.224,-2.400,0
1492696063.093,0.045,0.015,-2.609,0
1492696063.113,0.060,0.097,-2.527,0
1492696063.133,0.135,0.299,-2.393,0
1492696063.152,0.150,0.538,-2.355,0
1492696063.172,0.030,0.546,-2.236,0
1492696063.192,-0.082,0.396,-2.243,0
1492696063.212,-0.022,0.209,-2.355,0
1492696063.231,0.030,0.150,-2.400,0
1492696063.251,0.007,0.120,-2.393,2
1492696063.271,0.045,0.142,-2.467,0
1492696063.290,0.030,0.307,-2.565,0
1492696063.310,-0.075,0.419,-2.617,0
1492696063.330,-0.187,0.351,-2.609,0
1492696063.350,-0.209,0.179,-2.370,0
1492696063.369,-0.135,0.052,-2.176,0
1492696063.389,-0.067,0.000,-2.034,0
1492696063.409,-0.037,0.007,-1.981,0
1492696063.428,-0.060,-0.022,-1.922,0
1492696063.448,-0.105,-0.067,-1.832,0
1492696063.468,-0.157,-0.247,-1.966,0
1492696063.487,-0.135,-0.247,-2.176,0
1492696063.507,-0.015,-0.082,-2.355,0
1492696063.527,-0.015,-0.037,-2.408,0
