timestamps,X,Y,Z,Marker0
1492488181.759,-0.559,0.296,0.764,0
1492488181.779,-0.560,0.296,0.763,0
1492488181.799,-0.561,0.294,0.764,0
1492488181.818,-0.561,0.295,0.763,0
1492488181.838,-0.560,0.293,0.763,0
1492488181.858,-0.561,0.295,0.761,0
1492488181.878,-0.563,0.296,0.762,0
1492488181.897,-0.563,0.294,0.763,0
1492488181.917,-0.564,0.293,0.764,0
1492488181.937,-0.562,0.291,0.766,0
1492488181.956,-0.562,0.289,0.764,0
1492488181.976,-0.560,0.290,0.763,0
1492488181.996,-0.561,0.292,0.764,0
1492488182.016,-0.561,0.294,0.761,0
1492488182.035,-0.563,0.295,0.765,0
1492488182.055,-0.561,0.294,0.764,0
1492488182.075,-0.561,0.293,0.765,0
1492488182.094,-0.563,0.292,0.763,0
1492488182.114,-0.563,0.293,0.762,0
1492488182.134,-0.564,0.294,0.761,0
1492488182.153,-0.563,0.297,0.763,0
1492488182.173,-0.564,0.298,0.764,0
1492488182.193,-0.564,0.295,0.766,0
1492488182.213,-0.562,0.294,0.764,0
1492488182.232,-0.561,0.293,0.761,1
1492488182.252,-0.563,0.292,0.762,0
1492488182.272,-0.566,0.290,0.764,0
1492488182.291,-0.568,0.289,0.764,0
1492488182.311,-0.568,0.289,0.764,0
1492488182.331,-0.568,0.286,0.762,0
1492488182.351,-0.563,0.284,0.761,0
1492488182.370,-0.563,0.283,0.763,0
1492488182.390,-0.563,0.282,0.763,0
1492488182.410,-0.563,0.281,0.761,0
1492488182.429,-0.566,0.281,0.761,0
1492488182.449,-0.569,0.282,0.763,0
1492488182.469,-0.569,0.281,0.764,0
1492488182.489,-0.569,0.280,0.763,0
1492488182.508,-0.566,0.280,0.764,0
1492488182.528,-0.566,0.279,0.764,0
1492488182.548,-0.567,0.280,0.764,0
1492488182.567,-0.567,0.279,0.765,0
1492488182.587,-0.567,0.280,0.765,0
1492488182.607,-0.570,0.280,0.765,0
1492488182.626,-0.568,0.277,0.766,0
1492488182.646,-0.567,0.276,0.767,0
1492488182.666,-0.567,0.274,0.764,0
1492488182.686,-0.568,0.273,0.766,0
1492488182.705,-0.570,0.274,0.767,0
1492488182.725,-0.570,0.273,0.766,0
1492488182.745,-0.569,0.272,0.766,0
1492488182.764,-0.569,0.269,0.765,0
1492488182.784,-0.568,0.268,0.767,0
1492488182.804,-0.568,0.263,0.768,0
1492488182.824,-0.569,0.263,0.769,0
1492488182.843,-0.571,0.261,0.768,0
1492488182.863,-0.573,0.260,0.768,0
1492488182.883,-0.573,0.261,0.765,0
1492488182.902,-0.570,0.263,0.764,0
1492488182.922,-0.568,0.260,0.766,0
1492488182.942,-0.569,0.262,0.766,0
1492488182.961,-0.573,0.262,0.767,0
1492488182.981,-0.576,0.264,0.766,0
1492488183.001,-0.577,0.263,0.765,0
1492488183.021,-0.581,0.264,0.765,0
1492488183.040,-0.581,0.262,0.767,0
1492488183.060,-0.585,0.262,0.766,0
1492488183.080,-0.581,0.259,0.765,0
1492488183.099,-0.580,0.255,0.766,0
1492488183.119,-0.575,0.254,0.767,0
1492488183.139,-0.580,0.251,0.766,0
1492488183.159,-0.586,0.248,0.767,0
1492488183.178,-0.589,0.242,0.775,0
1492488183.198,-0.591,0.247,0.774,0
1492488183.218,-0.594,0.247,0.779,0
1492488183.237,-0.595,0.249,0.767,0
1492488183.257,-0.589,0.244,0.765,0
1492488183.277,-0.589,0.244,0.765,0
1492488183.297,-0.593,0.237,0.771,0
1492488183.316,-0.589,0.232,0.779,0
1492488183.336,-0.600,0.225,0.767,0
1492488183.356,-0.586,0.223,0.767,0
1492488183.375,-0.592,0.217,0.764,0
1492488183.395,-0.584,0.213,0.774,0
1492488183.415,-0.581,0.207,0.769,0
1492488183.434,-0.575,0.198,0.772,0
1492488183.454,-0.574,0.192,0.769,0
1492488183.474,-0.567,0.182,0.775,0
1492488183.494,-0.565,0.175,0.771,2
1492488183.513,-0.565,0.168,0.776,0
1492488183.533,-0.567,0.161,0.786,0
1492488183.553,-0.568,0.159,0.785,0
1492488183.572,-0.571,0.160,0.789,0
1492488183.592,-0.573,0.157,0.792,0
1492488183.612,-0.575,0.157,0.798,0
1492488183.632,-0.577,0.153,0.802,0
1492488183.651,-0.567,0.150,0.804,0
1492488183.671,-0.563,0.143,0.796,0
1492488183.691,-0.552,0.142,0.801,0
1492488183.710,-0.552,0.138,0.810,0
1492488183.730,-0.550,0.135,0.815,0
1492488183.750,-0.553,0.128,0.819,0
1492488183.769,-0.556,0.130,0.820,0
1492488183.789,-0.557,0.131,0.814,0
1492488183.809,-0.559,0.123,0.828,0
1492488183.829,-0.543,0.124,0.835,0
1492488183.848,-0.546,0.124,0.822,0
1492488183.868,-0.534,0.115,0.823,0
1492488183.888,-0.529,0.111,0.825,0
1492488183.907,-0.531,0.106,0.822,0
1492488183.927,-0.529,0.109,0.825,0
1492488183.947,-0.497,0.116,0.831,0
