timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1486808824.609,35.645,58.105,36.133,21.484,132.812,0
1486808824.613,55.176,49.316,59.082,53.223,134.766,0
1486808824.617,53.223,63.477,60.547,77.637,89.844,0
1486808824.621,38.574,46.387,-4.395,64.941,98.145,0
1486808824.625,37.109,14.160,-47.363,36.621,125.977,0
1486808824.629,32.715,18.066,-83.984,36.133,134.766,0
1486808824.633,0.000,46.387,-48.828,40.039,130.371,0
1486808824.637,25.879,62.012,69.824,67.871,89.844,0
1486808824.640,49.805,57.129,110.352,72.754,57.129,0
1486808824.644,-1.953,40.527,55.176,15.137,103.516,0
1486808824.648,10.254,27.344,1.465,37.598,136.230,0
1486808824.652,24.902,27.832,-25.391,63.965,103.027,0
1486808824.656,32.715,24.902,-27.344,52.734,101.562,0
1486808824.660,47.363,31.738,5.371,48.828,155.273,0
1486808824.664,50.293,50.293,59.570,42.969,142.578,0
1486808824.668,46.387,49.805,37.598,31.738,115.723,0
1486808824.672,38.086,35.156,15.137,39.551,126.465,0
1486808824.676,21.973,33.203,34.180,43.945,133.301,0
1486808824.680,5.371,34.668,6.836,34.668,133.301,0
1486808824.683,5.371,25.879,-7.324,47.363,89.844,0
1486808824.687,7.324,8.301,0.488,37.598,68.359,0
1486808824.691,7.324,-2.441,-5.371,11.719,93.262,0
1486808824.695,8.789,6.836,1.953,12.695,117.188,0
1486808824.699,18.066,41.992,7.324,29.785,110.840,0
1486808824.703,19.531,43.945,-31.738,35.645,119.141,0
1486808824.707,34.668,20.020,-27.832,40.039,145.508,0
1486808824.711,36.621,23.438,4.883,40.527,131.836,0
1486808824.715,14.648,21.973,24.902,4.395,103.027,0
1486808824.719,4.395,16.113,42.480,-4.395,101.074,0
1486808824.723,-13.184,33.203,28.809,9.766,104.004,0
1486808824.726,-0.488,13.184,17.090,12.695,85.449,0
1486808824.730,26.367,-8.301,10.742,24.414,95.703,0
1486808824.734,25.879,16.602,-5.859,31.250,92.773,0
1486808824.738,23.438,27.832,-1.953,18.555,83.984,0
1486808824.742,42.480,58.594,34.668,44.922,103.027,0
1486808824.746,55.664,70.312,32.715,71.777,122.559,0
1486808824.750,56.152,53.223,47.852,51.758,144.043,0
1486808824.754,53.711,46.875,72.266,71.289,142.578,0
1486808824.758,34.180,24.902,76.660,71.289,132.812,0
1486808824.762,28.320,16.602,79.102,31.738,113.281,0
1486808824.765,50.293,40.527,83.984,45.898,94.727,0
1486808824.769,49.805,58.105,73.730,55.664,78.125,0
1486808824.773,22.461,55.176,41.016,35.645,71.777,0
1486808824.777,30.762,46.387,-33.203,45.410,98.633,0
1486808824.781,76.660,41.992,-64.453,78.613,134.277,0
1486808824.785,91.309,59.570,27.344,95.703,85.449,0
1486808824.789,48.828,52.734,82.520,49.805,59.570,0
1486808824.793,18.066,22.461,59.082,8.789,90.820,0
1486808824.797,12.207,13.184,52.246,9.766,108.887,0
1486808824.801,8.789,12.695,53.711,26.855,79.590,0
1486808824.805,0.488,11.230,50.293,29.785,60.059,0
1486808824.808,12.207,13.184,24.902,26.367,68.359,0
1486808824.812,24.902,27.344,-6.348,36.621,69.824,0
1486808824.816,20.508,37.598,0.000,24.414,59.570,0
1486808824.820,14.160,30.762,-30.273,14.160,54.688,0
1486808824.824,40.527,43.945,-52.734,53.711,73.730,0
1486808824.828,54.688,52.246,5.371,57.617,101.562,0
1486808824.832,40.039,59.570,80.566,42.969,87.402,0
1486808824.836,35.156,33.691,66.895,56.641,56.152,0
1486808824.840,0.000,-13.184,37.109,47.852,66.406,0
1486808824.844,0.000,23.438,62.988,38.574,74.219,0
1486808824.848,43.457,58.594,76.660,42.969,91.797,0
1486808824.851,53.223,51.758,50.781,38.086,79.590,0
1486808824.855,41.016,36.621,30.762,35.156,71.777,0
1486808824.859,20.508,4.883,10.742,28.809,117.188,0
