timestamps,X,Y,Z,Marker0
1486894960.931,-0.776,-0.451,0.390,0
1486894960.950,-0.776,-0.455,0.405,0
1486894960.970,-0.774,-0.455,0.406,0
1486894960.990,-0.771,-0.456,0.399,0
1486894961.010,-0.773,-0.459,0.399,0
1486894961.029,-0.774,-0.458,0.398,0
1486894961.049,-0.775,-0.456,0.396,0
1486894961.069,-0.777,-0.458,0.397,0
1486894961.088,-0.776,-0.452,0.398,0
1486894961.108,-0.776,-0.450,0.398,0
1486894961.128,-0.781,-0.451,0.403,0
1486894961.147,-0.783,-0.452,0.397,0
1486894961.167,-0.780,-0.450,0.392,0
1486894961.187,-0.778,-0.454,0.397,0
1486894961.207,-0.776,-0.455,0.399,0
1486894961.226,-0.772,-0.454,0.401,0
1486894961.246,-0.772,-0.458,0.402,0
1486894961.266,-0.772,-0.457,0.398,0
1486894961.285,-0.772,-0.455,0.399,0
1486894961.305,-0.776,-0.457,0.399,0
1486894961.325,-0.779,-0.459,0.398,0
1486894961.345,-0.777,-0.455,0.399,0
1486894961.364,-0.774,-0.455,0.400,0
1486894961.384,-0.775,-0.457,0.397,0
1486894961.404,-0.775,-0.455,0.399,0
1486894961.423,-0.775,-0.453,0.398,0
1486894961.443,-0.778,-0.456,0.398,0
1486894961.463,-0.780,-0.453,0.397,0
1486894961.483,-0.777,-0.453,0.398,0
1486894961.502,-0.773,-0.456,0.399,0
1486894961.522,-0.776,-0.457,0.403,0
1486894961.542,-0.779,-0.456,0.400,0
1486894961.561,-0.772,-0.454,0.386,0
1486894961.581,-0.773,-0.455,0.402,0
1486894961.601,-0.772,-0.454,0.409,0
1486894961.620,-0.771,-0.456,0.403,1
1486894961.640,-0.774,-0.460,0.402,0
1486894961.660,-0.775,-0.458,0.396,0
1486894961.680,-0.776,-0.456,0.394,0
1486894961.699,-0.778,-0.458,0.396,0
1486894961.719,-0.779,-0.452,0.397,0
1486894961.739,-0.774,-0.449,0.401,0
1486894961.758,-0.775,-0.453,0.403,0
1486894961.778,-0.779,-0.456,0.401,0
1486894961.798,-0.776,-0.454,0.394,0
1486894961.818,-0.774,-0.458,0.399,0
1486894961.837,-0.774,-0.459,0.401,0
1486894961.857,-0.772,-0.457,0.403,0
1486894961.877,-0.767,-0.455,0.402,0
1486894961.896,-0.771,-0.455,0.399,0
1486894961.916,-0.777,-0.456,0.402,0
1486894961.936,-0.779,-0.454,0.401,0
1486894961.956,-0.778,-0.455,0.401,0
1486894961.975,-0.778,-0.456,0.400,0
1486894961.995,-0.772,-0.456,0.400,0
1486894962.015,-0.770,-0.457,0.398,0
1486894962.034,-0.772,-0.456,0.400,0
1486894962.054,-0.773,-0.455,0.400,0
1486894962.074,-0.775,-0.456,0.401,0
1486894962.093,-0.776,-0.456,0.398,0
1486894962.113,-0.777,-0.457,0.402,0
1486894962.133,-0.775,-0.457,0.400,0
1486894962.153,-0.776,-0.457,0.403,0
1486894962.172,-0.781,-0.458,0.400,0
1486894962.192,-0.770,-0.453,0.392,0
1486894962.212,-0.768,-0.453,0.402,0
1486894962.231,-0.770,-0.455,0.411,0
1486894962.251,-0.773,-0.457,0.407,0
1486894962.271,-0.775,-0.458,0.401,0
1486894962.291,-0.777,-0.459,0.395,0
1486894962.310,-0.778,-0.460,0.393,0
1486894962.330,-0.776,-0.456,0.397,0
1486894962.350,-0.772,-0.453,0.402,0
1486894962.369,-0.772,-0.455,0.406,0
1486894962.389,-0.771,-0.455,0.402,0
1486894962.409,-0.774,-0.459,0.398,0
1486894962.428,-0.778,-0.458,0.398,0
1486894962.448,-0.775,-0.458,0.399,0
1486894962.468,-0.772,-0.456,0.403,0
