timestamps,X,Y,Z,Marker0
1488724223.558,0.516,1.159,-2.243,0
1488724223.578,0.516,1.219,-2.183,0
1488724223.598,0.426,1.181,-2.049,0
1488724223.617,0.471,1.159,-1.824,0
1488724223.637,0.426,1.189,-1.645,0
1488724223.657,0.329,1.256,-1.503,0
1488724223.676,0.202,1.226,-1.346,0
1488724223.696,0.179,1.151,-1.480,0
1488724223.716,0.194,1.129,-1.615,0
1488724223.736,0.262,1.122,-1.847,0
1488724223.755,0.284,1.099,-2.131,0
1488724223.775,0.269,1.024,-2.318,0
1488724223.795,0.277,1.047,-2.288,0
1488724223.814,0.322,1.092,-2.183,0
1488724223.834,0.351,1.099,-1.951,0
1488724223.854,0.307,1.166,-1.809,0
1488724223.874,0.351,1.196,-1.742,0
1488724223.893,0.456,1.234,-1.809,0
1488724223.913,0.441,1.219,-1.854,0
1488724223.933,0.434,1.204,-1.929,0
1488724223.952,0.493,1.181,-2.116,0
1488724223.972,0.449,1.099,-2.243,1
1488724223.992,0.374,1.077,-2.325,0
1488724224.012,0.404,1.159,-2.408,0
1488724224.031,0.381,1.159,-2.400,0
1488724224.051,0.389,1.107,-2.385,0
1488724224.071,0.381,1.114,-2.310,0
1488724224.090,0.322,1.151,-2.333,0
1488724224.110,0.374,1.151,-2.355,0
1488724224.130,0.531,1.136,-2.295,0
1488724224.149,0.538,1.174,-2.437,0
1488724224.169,0.591,1.211,-2.475,0
1488724224.189,0.561,1.234,-2.445,0
1488724224.209,0.568,1.189,-2.497,0
1488724224.228,0.591,1.189,-2.512,0
1488724224.248,0.740,1.308,-2.557,0
1488724224.268,0.845,1.383,-2.437,0
1488724224.287,0.658,1.279,-2.310,0
1488724224.307,0.322,1.189,-2.243,0
1488724224.327,0.097,1.174,-2.206,0
1488724224.347,0.157,1.099,-2.265,0
1488724224.366,0.299,1.017,-2.378,0
1488724224.386,0.359,1.069,-2.445,0
1488724224.406,0.479,1.136,-2.557,0
1488724224.425,0.471,1.234,-2.587,0
1488724224.445,0.471,1.219,-2.467,0
1488724224.465,0.426,1.234,-2.348,0
1488724224.485,0.389,1.196,-2.303,0
1488724224.504,0.396,1.249,-2.153,0
1488724224.524,0.426,1.256,-2.108,0
1488724224.544,0.456,1.189,-2.168,0
1488724224.563,0.493,1.204,-2.191,0
1488724224.583,0.449,1.219,-2.280,0
1488724224.603,0.426,1.241,-2.385,0
1488724224.622,0.508,1.181,-2.550,0
1488724224.642,0.426,1.144,-2.632,0
1488724224.662,0.329,1.129,-2.579,0
1488724224.682,0.299,1.077,-2.535,0
1488724224.701,0.150,1.054,-2.527,0
1488724224.721,0.179,1.032,-2.624,0
1488724224.741,0.090,1.009,-2.669,0
1488724224.760,0.045,0.979,-2.744,0
1488724224.780,-0.007,0.965,-2.744,0
1488724224.800,0.045,0.979,-2.654,0
1488724224.820,0.082,1.017,-2.490,0
1488724224.839,0.202,1.084,-2.378,0
1488724224.859,0.187,1.107,-2.310,0
1488724224.879,0.194,1.114,-2.280,0
1488724224.898,0.187,1.144,-2.445,0
1488724224.918,0.179,1.069,-2.482,0
1488724224.938,0.179,1.054,-2.579,0
1488724224.958,0.135,1.062,-2.624,0
1488724224.977,0.105,0.987,-2.737,0
1488724224.997,0.112,1.062,-2.714,0
1488724225.017,0.105,1.129,-2.602,0
1488724225.036,0.157,1.136,-2.408,0
1488724225.056,0.187,1.189,-2.206,0
1488724225.076,0.224,1.301,-1.996,0
1488724225.095,0.307,1.331,-1.892,0
1488724225.115,0.202,1.308,-1.772,0
1488724225.135,0.164,1.249,-1.802,0
1488724225.155,0.157,1.211,-1.809,0
1488724225.174,0.179,1.204,-1.877,0
1488724225.194,0.120,1.174,-2.026,0
1488724225.214,0.209,1.189,-2.146,0
1488724225.233,0.299,1.189,-2.258,2
1488724225.253,0.531,1.279,-2.295,0
1488724225.273,0.508,1.353,-2.273,0
1488724225.293,0.441,1.398,-2.004,0
1488724225.312,0.277,1.436,-1.757,0
1488724225.332,0.202,1.338,-1.585,0
1488724225.352,0.082,1.331,-1.480,0
1488724225.371,-0.015,1.249,-1.570,0
1488724225.391,0.097,1.174,-1.839,0
1488724225.411,0.194,1.219,-2.101,0
1488724225.431,0.396,1.264,-2.280,0
