timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1506463351.954,47.363,6.348,49.316,76.172,46.387,0
1506463351.958,39.551,4.395,43.945,72.266,24.902,0
1506463351.962,44.922,8.789,46.387,72.754,11.719,0
1506463351.965,44.434,8.789,46.875,68.848,57.617,0
1506463351.969,47.363,11.230,53.223,70.801,44.434,0
1506463351.973,52.246,12.695,55.664,73.730,15.625,0
1506463351.977,50.781,9.277,51.270,68.359,28.320,0
1506463351.981,47.852,7.324,47.363,61.523,50.781,0
1506463351.985,44.434,5.371,42.969,58.594,54.199,0
1506463351.989,41.992,3.906,43.945,58.594,49.316,0
1506463351.993,53.223,13.184,55.176,69.824,24.902,0
1506463351.997,51.758,12.695,48.340,65.918,-17.090,0
1506463352.001,39.062,5.371,36.133,53.223,31.738,0
1506463352.005,32.715,5.371,37.109,52.734,25.391,0
1506463352.008,25.391,4.883,36.621,48.828,-1.953,0
1506463352.012,25.879,3.906,37.598,46.387,25.391,0
1506463352.016,28.320,4.883,36.133,47.363,21.484,0
1506463352.020,28.320,9.277,35.645,47.852,13.672,0
1506463352.024,31.738,12.695,36.133,48.340,8.301,0
1506463352.028,33.691,11.230,34.668,45.898,24.902,0
1506463352.032,30.273,10.254,35.156,42.480,27.832,0
1506463352.036,27.344,10.254,32.227,42.480,-14.648,0
1506463352.040,30.273,11.719,27.344,43.457,-27.832,0
1506463352.044,34.668,13.184,24.902,43.945,0.000,0
1506463352.047,45.898,21.973,32.715,52.734,-4.395,0
1506463352.051,56.641,32.227,42.480,58.105,1.465,0
1506463352.055,58.105,36.133,42.969,60.059,27.344,0
1506463352.059,55.176,31.738,39.062,58.594,39.062,0
1506463352.063,52.734,28.320,35.645,54.199,28.809,0
1506463352.067,58.594,32.227,36.621,57.617,-7.812,0
1506463352.071,56.641,31.738,36.133,61.523,-38.086,0
1506463352.075,54.688,31.250,36.133,64.941,-11.719,0
1506463352.079,53.223,28.320,32.227,62.012,27.344,0
1506463352.083,46.387,22.461,24.414,53.711,-9.277,0
1506463352.087,49.316,20.508,18.555,49.316,-39.062,0
1506463352.090,57.129,23.438,20.996,55.176,2.441,0
1506463352.094,52.246,21.973,24.414,55.664,-15.625,0
1506463352.098,37.598,10.742,18.066,43.945,-20.996,0
1506463352.102,36.133,13.672,19.531,45.898,31.738,0
1506463352.106,44.922,21.973,26.855,55.176,28.809,0
1506463352.110,47.852,25.391,31.250,58.594,2.930,0
1506463352.114,41.992,26.367,30.273,58.594,-7.812,0
1506463352.118,35.645,23.438,27.832,55.664,18.555,0
1506463352.122,28.320,17.578,25.879,51.758,53.223,0
1506463352.126,32.715,20.996,30.762,50.781,28.809,0
1506463352.130,37.109,26.367,34.180,52.246,-17.578,0
1506463352.133,31.250,23.926,29.785,47.363,1.465,0
1506463352.137,29.785,23.926,28.320,45.410,5.371,0
1506463352.141,21.973,17.578,23.926,41.504,-26.855,0
1506463352.145,18.555,13.672,22.461,36.621,-9.277,0
1506463352.149,25.879,19.531,25.879,37.598,20.020,0
1506463352.153,21.484,15.625,20.020,35.645,17.578,0
1506463352.157,19.531,10.742,16.602,33.203,7.812,0
1506463352.161,21.973,11.719,17.578,35.156,18.066,0
1506463352.165,23.438,16.113,19.531,38.574,17.090,0
1506463352.169,23.438,20.508,25.879,41.016,18.555,0
1506463352.172,24.902,17.578,27.344,39.551,-22.461,0
1506463352.176,25.879,16.602,25.879,38.086,-32.227,0
1506463352.180,27.344,20.020,31.250,42.480,52.246,0
1506463352.184,27.832,20.020,32.227,41.992,54.199,0
1506463352.188,25.391,19.043,24.902,35.645,7.324,0
1506463352.192,20.996,17.090,25.879,35.156,19.043,0
1506463352.196,25.879,19.043,33.691,40.039,43.945,0
1506463352.200,32.227,23.926,31.738,39.551,35.645,0
1506463352.204,35.156,27.832,32.227,37.109,26.855,0
1506463352.208,33.691,24.414,31.250,30.762,-3.906,0
1506463352.212,27.344,19.531,26.855,23.438,1.953,0
1506463352.215,18.555,15.625,22.949,20.996,14.160,0
1506463352.219,12.695,10.254,21.484,15.137,-20.020,0
1506463352.223,11.719,8.301,16.113,9.277,-20.508,0
1506463352.227,7.812,7.324,9.277,6.836,-4.395,0
1506463352.231,8.301,7.812,9.277,6.836,-5.371,0
1506463352.235,9.277,8.789,10.742,8.301,12.695,0
1506463352.239,14.160,10.254,14.648,12.207,37.598,0
1506463352.243,23.438,14.160,16.113,13.672,25.879,0
1506463352.247,26.855,15.137,15.137,15.137,-2.930,0
1506463352.251,32.715,20.508,23.926,25.391,-7.324,0
1506463352.255,38.086,28.320,27.344,35.156,18.555,0
1506463352.258,33.203,26.855,24.902,36.133,13.672,0
1506463352.262,34.668,29.297,29.297,35.645,-15.625,0
1506463352.266,33.203,30.273,30.273,32.715,-27.344,0
1506463352.270,27.832,28.320,28.809,32.227,-8.301,0
1506463352.274,27.832,26.367,26.855,31.250,4.395,0
1506463352.278,29.297,28.809,31.250,33.203,-0.977,0
1506463352.282,27.344,28.320,31.250,31.250,2.441,0
1506463352.286,24.414,24.414,25.879,23.926,21.484,0
1506463352.290,24.414,23.438,25.879,23.926,6.836,0
1506463352.294,21.484,20.508,21.973,21.484,-12.207,0
1506463352.297,16.113,16.602,16.602,19.043,9.277,0
1506463352.301,17.578,15.137,17.090,20.996,9.766,0
1506463352.305,14.648,14.160,13.184,16.602,12.207,0
1506463352.309,9.766,11.230,7.812,8.789,-9.277,0
1506463352.313,13.184,17.578,12.207,10.254,-5.859,0
1506463352.317,15.137,25.391,17.090,16.602,20.020,0
1506463352.321,16.602,29.785,24.414,23.438,-5.371,0
1506463352.325,15.137,28.809,23.438,19.531,-5.859,0
1506463352.329,12.207,23.438,19.043,9.766,26.855,0
1506463352.333,12.695,26.855,22.461,17.578,34.180,0
1506463352.337,11.230,24.902,17.578,16.113,41.992,0
1506463352.340,8.301,18.066,9.766,7.812,6.348,0
1506463352.344,11.719,20.508,15.137,14.648,-11.719,0
1506463352.348,19.531,25.879,20.020,21.973,-4.395,0
1506463352.352,20.020,23.438,15.137,18.066,-7.812,0
1506463352.356,24.902,22.461,17.578,16.602,-2.441,0
1506463352.360,30.762,27.344,24.414,23.438,24.902,0
1506463352.364,31.738,32.715,28.320,31.738,0.000,0
1506463352.368,29.297,31.738,26.367,31.738,-16.113,0
1506463352.372,23.438,24.414,17.578,22.949,13.672,0
1506463352.376,25.879,27.832,18.555,21.973,23.438,0
1506463352.380,30.273,32.715,22.949,25.391,16.113,0
1506463352.383,22.461,29.297,21.973,23.438,6.836,0
1506463352.387,18.555,30.273,23.438,23.438,3.906,0
1506463352.391,22.949,33.203,26.367,24.902,17.578,0
1506463352.395,28.809,38.574,32.227,29.297,28.809,0
1506463352.399,28.320,38.574,30.762,29.297,2.441,0
1506463352.403,20.020,31.738,24.902,22.461,-5.859,0
1506463352.407,18.555,32.227,23.438,21.973,14.160,0
