timestamps,X,Y,Z,Marker0
1506385216.301,-0.943,0.289,0.109,0
1506385216.321,-0.944,0.285,0.104,0
1506385216.340,-0.946,0.286,0.109,0
1506385216.360,-0.944,0.285,0.107,0
1506385216.380,-0.943,0.284,0.105,0
1506385216.400,-0.942,0.283,0.108,0
1506385216.419,-0.944,0.285,0.101,0
1506385216.439,-0.947,0.286,0.100,0
1506385216.459,-0.949,0.287,0.099,0
1506385216.478,-0.946,0.287,0.105,0
1506385216.498,-0.943,0.288,0.107,0
1506385216.518,-0.943,0.289,0.109,0
1506385216.537,-0.940,0.289,0.111,0
1506385216.557,-0.943,0.285,0.112,0
1506385216.577,-0.944,0.283,0.110,0
1506385216.597,-0.946,0.282,0.112,0
1506385216.616,-0.944,0.282,0.114,0
1506385216.636,-0.942,0.283,0.111,0
1506385216.656,-0.941,0.287,0.108,0
1506385216.675,-0.941,0.293,0.109,0
1506385216.695,-0.940,0.298,0.109,0
1506385216.715,-0.940,0.297,0.108,0
1506385216.735,-0.942,0.295,0.110,0
1506385216.754,-0.943,0.292,0.111,0
1506385216.774,-0.943,0.287,0.110,0
1506385216.794,-0.945,0.290,0.110,0
1506385216.813,-0.943,0.291,0.114,0
1506385216.833,-0.942,0.294,0.115,0
1506385216.853,-0.942,0.295,0.115,0
1506385216.873,-0.938,0.297,0.118,0
1506385216.892,-0.938,0.300,0.116,0
1506385216.912,-0.934,0.294,0.118,0
1506385216.932,-0.928,0.293,0.124,0
1506385216.951,-0.929,0.295,0.124,0
1506385216.971,-0.933,0.298,0.126,0
1506385216.991,-0.945,0.307,0.122,0
1506385217.010,-0.947,0.310,0.120,0
1506385217.030,-0.943,0.307,0.120,0
1506385217.050,-0.934,0.305,0.123,0
1506385217.070,-0.929,0.305,0.124,0
1506385217.089,-0.932,0.309,0.118,0
1506385217.109,-0.938,0.315,0.117,1
1506385217.129,-0.938,0.312,0.110,0
1506385217.148,-0.936,0.304,0.119,0
1506385217.168,-0.935,0.300,0.131,0
1506385217.188,-0.934,0.304,0.128,0
1506385217.208,-0.935,0.310,0.119,0
1506385217.227,-0.935,0.312,0.116,0
1506385217.247,-0.942,0.315,0.124,0
1506385217.267,-0.934,0.312,0.120,0
1506385217.286,-0.938,0.311,0.120,0
1506385217.306,-0.931,0.305,0.126,0
1506385217.326,-0.923,0.302,0.125,0
1506385217.346,-0.927,0.303,0.126,0
1506385217.365,-0.929,0.309,0.120,0
1506385217.385,-0.937,0.317,0.116,0
1506385217.405,-0.941,0.316,0.115,0
1506385217.424,-0.938,0.316,0.118,0
1506385217.444,-0.936,0.318,0.118,0
1506385217.464,-0.936,0.321,0.119,0
1506385217.483,-0.933,0.321,0.116,0
1506385217.503,-0.935,0.318,0.115,0
1506385217.523,-0.931,0.315,0.124,0
1506385217.543,-0.927,0.309,0.126,0
1506385217.562,-0.921,0.306,0.125,0
1506385217.582,-0.925,0.313,0.124,0
1506385217.602,-0.927,0.326,0.123,0
1506385217.621,-0.938,0.336,0.112,0
1506385217.641,-0.945,0.337,0.109,0
1506385217.661,-0.933,0.330,0.124,0
1506385217.681,-0.930,0.335,0.130,0
1506385217.700,-0.930,0.345,0.121,0
1506385217.720,-0.929,0.351,0.118,0
1506385217.740,-0.928,0.343,0.122,0
1506385217.759,-0.922,0.335,0.127,0
1506385217.779,-0.919,0.332,0.126,0
1506385217.799,-0.918,0.331,0.124,0
1506385217.819,-0.920,0.333,0.120,0
1506385217.838,-0.924,0.335,0.121,0
1506385217.858,-0.925,0.338,0.121,0
1506385217.878,-0.925,0.338,0.124,0
1506385217.897,-0.929,0.348,0.125,0
1506385217.917,-0.936,0.357,0.119,0
1506385217.937,-0.929,0.352,0.116,0
1506385217.956,-0.927,0.347,0.121,0
1506385217.976,-0.928,0.343,0.122,0
1506385217.996,-0.927,0.339,0.121,0
1506385218.016,-0.922,0.330,0.126,0
1506385218.035,-0.918,0.324,0.130,0
1506385218.055,-0.922,0.326,0.122,0
1506385218.075,-0.932,0.331,0.116,0
1506385218.094,-0.935,0.337,0.121,0
1506385218.114,-0.934,0.338,0.123,0
1506385218.134,-0.927,0.333,0.126,0
1506385218.154,-0.927,0.330,0.124,0
1506385218.173,-0.927,0.334,0.126,0
1506385218.193,-0.927,0.334,0.121,0
1506385218.213,-0.927,0.332,0.123,0
1506385218.232,-0.928,0.326,0.124,0
1506385218.252,-0.932,0.322,0.121,0
1506385218.272,-0.931,0.320,0.120,0
1506385218.292,-0.931,0.318,0.127,0
1506385218.311,-0.930,0.318,0.126,0
1506385218.331,-0.935,0.321,0.125,0
1506385218.351,-0.937,0.322,0.125,0
1506385218.370,-0.936,0.320,0.124,0
1506385218.390,-0.936,0.319,0.122,2
1506385218.410,-0.935,0.315,0.123,0
1506385218.430,-0.932,0.307,0.124,0
1506385218.449,-0.926,0.298,0.129,0
1506385218.469,-0.925,0.295,0.132,0
1506385218.489,-0.931,0.300,0.130,0
1506385218.508,-0.938,0.306,0.126,0
1506385218.528,-0.944,0.309,0.125,0
1506385218.548,-0.942,0.307,0.126,0
1506385218.567,-0.937,0.300,0.124,0
1506385218.587,-0.937,0.295,0.126,0
1506385218.607,-0.934,0.294,0.126,0
1506385218.627,-0.935,0.292,0.122,0
1506385218.646,-0.938,0.290,0.124,0
1506385218.666,-0.941,0.291,0.122,0
1506385218.686,-0.944,0.292,0.121,0
1506385218.705,-0.946,0.290,0.124,0
1506385218.725,-0.942,0.287,0.123,0
1506385218.745,-0.938,0.284,0.123,0
1506385218.765,-0.936,0.286,0.131,0
1506385218.784,-0.933,0.285,0.130,0
1506385218.804,-0.935,0.284,0.125,0
1506385218.824,-0.936,0.285,0.125,0
1506385218.843,-0.943,0.286,0.126,0
1506385218.863,-0.948,0.285,0.123,0
1506385218.883,-0.950,0.284,0.124,3
1506385218.903,-0.951,0.282,0.122,0
1506385218.922,-0.947,0.283,0.124,0
1506385218.942,-0.945,0.281,0.123,0
1506385218.962,-0.943,0.279,0.126,0
1506385218.981,-0.939,0.278,0.131,0
1506385219.001,-0.937,0.277,0.131,0
1506385219.021,-0.936,0.278,0.128,0
1506385219.040,-0.940,0.278,0.128,0
1506385219.060,-0.941,0.275,0.127,0
1506385219.080,-0.942,0.273,0.126,0
1506385219.100,-0.950,0.276,0.129,0
1506385219.119,-0.948,0.272,0.124,0
1506385219.139,-0.945,0.271,0.126,0
1506385219.159,-0.940,0.267,0.127,0
1506385219.178,-0.941,0.265,0.125,0
1506385219.198,-0.941,0.268,0.124,0
1506385219.218,-0.946,0.274,0.124,0
1506385219.238,-0.949,0.280,0.127,0
1506385219.257,-0.951,0.282,0.123,0
1506385219.277,-0.947,0.281,0.124,0
1506385219.297,-0.943,0.277,0.125,0
1506385219.316,-0.941,0.275,0.127,0
1506385219.336,-0.945,0.273,0.126,0
1506385219.356,-0.946,0.273,0.126,0
1506385219.376,-0.946,0.272,0.125,4
1506385219.395,-0.945,0.271,0.130,0
1506385219.415,-0.944,0.272,0.128,0
1506385219.435,-0.942,0.272,0.127,0
1506385219.454,-0.943,0.273,0.126,0
1506385219.474,-0.944,0.275,0.128,0
1506385219.494,-0.944,0.275,0.127,0
1506385219.513,-0.943,0.275,0.126,0
1506385219.533,-0.944,0.275,0.127,0
1506385219.553,-0.945,0.275,0.127,0
1506385219.573,-0.946,0.275,0.126,0
1506385219.592,-0.944,0.274,0.127,0
1506385219.612,-0.946,0.273,0.125,0
1506385219.632,-0.943,0.274,0.126,0
1506385219.651,-0.941,0.271,0.131,0
1506385219.671,-0.938,0.273,0.132,0
1506385219.691,-0.941,0.274,0.129,0
1506385219.711,-0.946,0.272,0.128,0
1506385219.730,-0.949,0.269,0.124,0
1506385219.750,-0.949,0.273,0.124,0
1506385219.770,-0.949,0.272,0.122,0
1506385219.789,-0.948,0.271,0.124,0
1506385219.809,-0.944,0.268,0.124,0
1506385219.829,-0.941,0.265,0.126,0
1506385219.849,-0.942,0.264,0.125,0
1506385219.868,-0.945,0.267,0.127,0
1506385219.888,-0.947,0.271,0.128,5
1506385219.908,-0.948,0.270,0.125,0
1506385219.927,-0.946,0.271,0.126,0
1506385219.947,-0.944,0.271,0.127,0
1506385219.967,-0.947,0.269,0.120,0
1506385219.986,-0.950,0.273,0.128,0
1506385220.006,-0.946,0.273,0.119,0
1506385220.026,-0.944,0.273,0.123,0
1506385220.046,-0.945,0.270,0.121,0
1506385220.065,-0.946,0.268,0.120,0
1506385220.085,-0.948,0.264,0.117,0
1506385220.105,-0.951,0.263,0.120,0
1506385220.124,-0.952,0.264,0.121,0
1506385220.144,-0.949,0.264,0.121,0
1506385220.164,-0.947,0.265,0.122,0
1506385220.184,-0.946,0.264,0.124,0
1506385220.203,-0.944,0.267,0.125,0
1506385220.223,-0.942,0.268,0.125,0
1506385220.243,-0.940,0.269,0.125,0
1506385220.262,-0.940,0.268,0.123,0
1506385220.282,-0.943,0.269,0.121,0
1506385220.302,-0.947,0.272,0.121,0
1506385220.322,-0.952,0.272,0.118,0
1506385220.341,-0.950,0.272,0.120,0
1506385220.361,-0.950,0.272,0.120,0
1506385220.381,-0.947,0.272,0.120,0
1506385220.400,-0.946,0.273,0.119,0
1506385220.420,-0.944,0.273,0.120,0
1506385220.440,-0.944,0.273,0.118,0
1506385220.460,-0.944,0.273,0.119,0
1506385220.479,-0.946,0.273,0.119,0
1506385220.499,-0.947,0.274,0.117,0
1506385220.519,-0.950,0.273,0.116,0
1506385220.538,-0.951,0.274,0.122,0
1506385220.558,-0.948,0.271,0.122,0
1506385220.578,-0.946,0.269,0.123,0
1506385220.597,-0.943,0.268,0.128,0
1506385220.617,-0.936,0.268,0.124,0
1506385220.637,-0.936,0.270,0.122,0
1506385220.657,-0.941,0.273,0.119,0
1506385220.676,-0.948,0.275,0.118,0
1506385220.696,-0.950,0.275,0.115,0
1506385220.716,-0.955,0.276,0.114,0
1506385220.735,-0.953,0.275,0.115,0
1506385220.755,-0.952,0.274,0.115,0
1506385220.775,-0.947,0.272,0.116,0
1506385220.795,-0.944,0.271,0.118,0
1506385220.814,-0.941,0.269,0.120,0
1506385220.834,-0.941,0.268,0.122,0
1506385220.854,-0.942,0.269,0.122,0
1506385220.873,-0.945,0.271,0.122,0
1506385220.893,-0.945,0.270,0.123,0
1506385220.913,-0.945,0.271,0.118,0
1506385220.933,-0.949,0.272,0.120,0
1506385220.952,-0.950,0.272,0.121,0
1506385220.972,-0.949,0.271,0.117,0
1506385220.992,-0.946,0.269,0.120,0
1506385221.011,-0.946,0.267,0.118,0
1506385221.031,-0.947,0.266,0.118,0
1506385221.051,-0.946,0.266,0.117,0
1506385221.070,-0.947,0.266,0.119,0
1506385221.090,-0.949,0.267,0.119,0
1506385221.110,-0.949,0.266,0.118,0
1506385221.130,-0.949,0.267,0.117,0
1506385221.149,-0.947,0.267,0.119,0
1506385221.169,-0.946,0.267,0.118,0
1506385221.189,-0.945,0.267,0.118,0
1506385221.208,-0.947,0.265,0.119,0
1506385221.228,-0.948,0.264,0.119,0
1506385221.248,-0.946,0.262,0.117,0
1506385221.268,-0.947,0.262,0.118,0
1506385221.287,-0.948,0.262,0.119,0
1506385221.307,-0.949,0.264,0.121,0
1506385221.327,-0.950,0.264,0.119,0
1506385221.346,-0.949,0.265,0.122,0
1506385221.366,-0.949,0.264,0.121,0
1506385221.386,-0.949,0.263,0.122,0
1506385221.406,-0.948,0.261,0.122,0
1506385221.425,-0.948,0.260,0.122,0
1506385221.445,-0.947,0.262,0.121,0
1506385221.465,-0.947,0.261,0.123,0
1506385221.484,-0.948,0.263,0.123,0
1506385221.504,-0.948,0.262,0.120,0
1506385221.524,-0.949,0.265,0.125,0
1506385221.543,-0.946,0.267,0.121,0
1506385221.563,-0.943,0.266,0.123,0
1506385221.583,-0.943,0.265,0.124,0
1506385221.603,-0.946,0.266,0.124,0
1506385221.622,-0.949,0.266,0.122,0
1506385221.642,-0.952,0.265,0.121,0
1506385221.662,-0.953,0.263,0.123,0
1506385221.681,-0.950,0.262,0.121,0
1506385221.701,-0.947,0.260,0.122,0
1506385221.721,-0.944,0.259,0.123,0
1506385221.741,-0.945,0.261,0.124,0
1506385221.760,-0.946,0.259,0.124,0
1506385221.780,-0.948,0.262,0.123,0
1506385221.800,-0.950,0.263,0.125,0
