timestamps,X,Y,Z,Marker0
1506375083.342,-0.745,0.202,0.618,0
1506375083.362,-0.744,0.202,0.616,0
1506375083.382,-0.747,0.199,0.614,0
1506375083.401,-0.749,0.200,0.614,0
1506375083.421,-0.751,0.197,0.614,0
1506375083.441,-0.751,0.198,0.616,0
1506375083.461,-0.749,0.200,0.613,0
1506375083.480,-0.746,0.201,0.614,0
1506375083.500,-0.748,0.198,0.612,0
1506375083.520,-0.742,0.197,0.617,0
1506375083.539,-0.741,0.203,0.617,0
1506375083.559,-0.752,0.208,0.615,0
1506375083.579,-0.766,0.209,0.608,0
1506375083.598,-0.775,0.205,0.619,0
1506375083.618,-0.762,0.202,0.610,0
1506375083.638,-0.748,0.196,0.613,0
1506375083.658,-0.731,0.185,0.615,0
1506375083.677,-0.714,0.176,0.616,0
1506375083.697,-0.714,0.178,0.616,0
1506375083.717,-0.741,0.186,0.611,0
1506375083.736,-0.766,0.198,0.612,0
1506375083.756,-0.774,0.208,0.611,0
1506375083.776,-0.772,0.213,0.614,0
1506375083.796,-0.762,0.213,0.612,0
1506375083.815,-0.755,0.208,0.611,0
1506375083.835,-0.739,0.196,0.615,0
1506375083.855,-0.734,0.188,0.614,0
1506375083.874,-0.738,0.191,0.616,0
1506375083.894,-0.745,0.195,0.617,0
1506375083.914,-0.757,0.193,0.616,0
1506375083.934,-0.759,0.193,0.616,0
1506375083.953,-0.757,0.195,0.615,0
1506375083.973,-0.749,0.195,0.610,0
1506375083.993,-0.743,0.201,0.610,0
1506375084.012,-0.748,0.204,0.613,0
1506375084.032,-0.751,0.204,0.611,0
1506375084.052,-0.755,0.199,0.613,0
1506375084.071,-0.754,0.191,0.618,0
1506375084.091,-0.743,0.197,0.612,0
1506375084.111,-0.743,0.195,0.612,0
1506375084.131,-0.744,0.196,0.614,0
1506375084.150,-0.750,0.202,0.612,0
1506375084.170,-0.761,0.198,0.619,0
1506375084.190,-0.764,0.195,0.613,0
1506375084.209,-0.754,0.188,0.614,0
1506375084.229,-0.748,0.191,0.610,0
1506375084.249,-0.747,0.193,0.618,0
1506375084.269,-0.747,0.188,0.617,0
1506375084.288,-0.744,0.193,0.617,0
1506375084.308,-0.751,0.193,0.617,0
1506375084.328,-0.752,0.187,0.615,0
1506375084.347,-0.752,0.180,0.610,0
1506375084.367,-0.748,0.186,0.611,0
1506375084.387,-0.753,0.192,0.610,0
1506375084.406,-0.753,0.196,0.614,0
1506375084.426,-0.752,0.201,0.611,0
1506375084.446,-0.750,0.204,0.612,0
1506375084.466,-0.749,0.206,0.614,0
1506375084.485,-0.745,0.201,0.611,0
1506375084.505,-0.737,0.208,0.612,0
1506375084.525,-0.749,0.213,0.612,0
1506375084.544,-0.752,0.215,0.613,0
1506375084.564,-0.755,0.218,0.609,0
1506375084.584,-0.760,0.214,0.609,0
1506375084.604,-0.761,0.206,0.608,0
1506375084.623,-0.755,0.189,0.611,0
1506375084.643,-0.741,0.190,0.609,0
1506375084.663,-0.742,0.203,0.610,0
1506375084.682,-0.746,0.203,0.614,0
1506375084.702,-0.745,0.206,0.615,0
1506375084.722,-0.751,0.205,0.613,0
1506375084.742,-0.754,0.203,0.613,0
1506375084.761,-0.755,0.199,0.607,0
1506375084.781,-0.754,0.199,0.609,0
1506375084.801,-0.753,0.205,0.606,0
1506375084.820,-0.752,0.210,0.610,0
1506375084.840,-0.753,0.212,0.606,0
1506375084.860,-0.748,0.208,0.604,0
1506375084.879,-0.752,0.210,0.614,0
1506375084.899,-0.755,0.208,0.611,0
1506375084.919,-0.755,0.206,0.605,0
1506375084.939,-0.752,0.207,0.608,0
1506375084.958,-0.753,0.208,0.606,0
1506375084.978,-0.759,0.206,0.604,0
1506375084.998,-0.759,0.201,0.610,0
1506375085.017,-0.746,0.200,0.614,0
1506375085.037,-0.734,0.197,0.610,0
1506375085.057,-0.734,0.201,0.621,0
1506375085.077,-0.740,0.208,0.618,0
1506375085.096,-0.751,0.214,0.616,0
1506375085.116,-0.757,0.217,0.612,0
1506375085.136,-0.760,0.219,0.615,0
1506375085.155,-0.761,0.215,0.612,0
1506375085.175,-0.755,0.210,0.612,0
1506375085.195,-0.748,0.203,0.612,0
