timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1504326093.864,32.715,102.051,88.867,32.227,23.438,0
1504326093.868,90.332,28.809,0.977,9.277,14.160,0
1504326093.872,58.105,26.855,-36.621,1.465,10.742,0
1504326093.876,52.246,63.477,13.672,20.020,9.277,0
1504326093.880,69.824,39.551,8.301,18.555,15.625,0
1504326093.884,-15.137,22.461,1.953,3.418,28.809,0
1504326093.888,-13.672,-17.090,-91.797,26.367,7.812,0
1504326093.892,50.781,32.715,-82.031,25.879,-17.090,0
1504326093.896,71.289,134.277,95.215,6.836,16.602,0
1504326093.900,48.340,28.320,-6.348,17.090,59.082,0
1504326093.903,25.391,9.277,-75.684,30.762,32.227,0
1504326093.907,24.902,96.191,28.809,45.898,38.574,0
1504326093.911,40.527,81.543,26.855,60.059,62.500,0
1504326093.915,3.906,13.184,-40.039,35.156,60.059,0
1504326093.919,31.250,17.578,-38.086,19.043,57.129,0
1504326093.923,107.910,87.402,33.203,25.391,56.152,0
1504326093.927,33.203,55.664,10.254,34.668,45.898,0
1504326093.931,-40.527,-12.695,-82.031,53.711,53.711,0
1504326093.935,13.672,7.324,-80.566,56.152,38.574,0
1504326093.939,75.684,130.371,107.422,42.969,52.734,0
1504326093.943,104.492,106.934,121.582,35.645,97.168,0
1504326093.946,58.105,9.277,-34.668,46.875,74.707,0
1504326093.950,15.137,31.250,-12.695,58.594,59.570,0
1504326093.954,35.156,87.402,83.496,35.156,72.754,0
1504326093.958,6.836,52.246,60.547,3.906,84.961,0
1504326093.962,43.945,-11.230,-39.551,11.719,68.848,0
1504326093.966,119.629,54.199,20.020,46.387,61.035,0
1504326093.970,-6.836,109.863,132.812,36.133,89.355,0
1504326093.974,-72.754,57.129,72.754,20.996,102.051,0
1504326093.978,27.344,-26.367,-75.684,26.855,90.820,0
1504326093.982,40.039,48.828,14.160,20.996,102.539,0
1504326093.985,21.973,126.465,175.781,18.555,125.000,0
1504326093.989,34.180,61.523,87.402,15.137,134.766,0
1504326093.993,0.000,59.082,42.969,18.066,140.137,0
1504326093.997,-19.043,96.680,128.418,32.227,151.855,0
1504326094.001,37.598,76.172,108.398,32.715,152.344,0
1504326094.005,70.801,43.945,61.035,14.648,164.551,0
1504326094.009,45.410,44.434,119.141,3.906,209.961,0
1504326094.013,-4.883,78.125,141.113,34.180,229.492,0
1504326094.017,-35.645,54.688,91.309,67.871,238.281,0
1504326094.021,-6.348,-3.906,5.859,80.078,213.867,0
1504326094.025,31.738,-3.906,19.531,74.707,203.613,0
1504326094.028,101.074,118.652,169.922,45.410,236.816,0
1504326094.032,154.785,132.812,183.105,20.508,276.855,0
1504326094.036,62.012,-6.836,10.742,34.180,298.828,0
1504326094.040,-77.637,15.137,11.719,65.918,287.109,0
1504326094.044,-57.129,118.652,162.109,77.148,302.246,0
1504326094.048,-3.906,64.941,123.047,46.387,332.031,0
1504326094.052,23.438,46.387,39.551,49.805,327.637,0
1504326094.056,28.809,73.730,71.777,60.059,329.590,0
1504326094.060,59.570,68.848,113.770,34.668,352.539,0
1504326094.064,96.680,37.109,55.176,25.391,349.121,0
1504326094.068,83.008,26.855,28.809,52.246,329.102,0
1504326094.071,86.914,29.785,44.922,56.641,325.684,0
1504326094.075,100.098,52.734,97.168,43.945,350.098,0
1504326094.079,91.309,51.270,76.660,61.523,352.539,0
1504326094.083,66.406,-6.836,-55.176,64.453,319.336,0
1504326094.087,82.031,50.781,10.254,54.688,283.203,0
1504326094.091,52.246,126.465,199.707,27.344,301.758,0
1504326094.095,29.785,27.832,76.172,25.879,324.219,0
1504326094.099,45.898,7.324,-29.785,70.801,294.434,0
1504326094.103,1.465,88.867,72.266,78.125,267.578,0
1504326094.107,-15.137,80.078,117.676,45.410,299.316,0
1504326094.110,40.039,-0.977,0.977,68.848,291.504,0
1504326094.114,56.641,-12.207,-23.926,84.961,267.090,0
1504326094.118,24.414,-8.301,52.734,35.645,253.418,0
1504326094.122,30.762,35.645,55.176,19.531,231.445,0
1504326094.126,47.363,-0.488,-28.809,45.410,210.449,0
1504326094.130,72.754,-24.902,-61.035,61.523,168.457,0
1504326094.134,66.406,96.680,116.699,44.922,167.969,0
1504326094.138,-24.414,29.297,66.406,22.461,172.852,0
1504326094.142,-27.832,-62.500,-95.215,13.184,137.695,0
1504326094.146,41.992,-5.371,-0.488,22.949,103.027,0
1504326094.150,54.199,80.078,141.113,54.199,101.074,0
1504326094.153,104.004,20.020,36.133,47.363,88.379,0
1504326094.157,99.121,19.531,-8.789,42.969,71.777,0
1504326094.161,41.504,30.762,22.949,53.711,44.434,0
1504326094.165,51.758,-6.836,-10.742,61.035,3.418,0
1504326094.169,92.285,46.875,41.504,75.684,10.742,0
1504326094.173,65.918,-0.977,-12.207,67.383,-6.348,0
1504326094.177,4.883,21.484,35.156,53.711,-35.645,0
1504326094.181,-2.930,107.422,172.363,68.359,-24.902,0
1504326094.185,1.953,21.484,22.949,67.871,-50.781,0
1504326094.189,14.648,22.949,15.137,60.547,-70.312,0
1504326094.193,74.707,61.523,110.840,58.594,-69.336,0
1504326094.196,109.863,19.043,24.414,53.223,-74.219,0
1504326094.200,57.617,-23.926,-41.016,28.320,-95.703,0
1504326094.204,61.523,30.273,57.617,31.738,-101.074,0
1504326094.208,83.984,74.219,97.656,54.199,-71.289,0
1504326094.212,41.504,27.344,47.852,45.410,-55.176,0
1504326094.216,20.508,-16.602,12.695,60.547,-64.453,0
1504326094.220,49.316,-9.766,-34.668,60.059,-123.047,0
1504326094.224,76.660,111.328,124.023,27.832,-115.723,0
1504326094.228,103.516,61.035,125.488,34.180,-71.777,0
1504326094.232,67.383,-29.785,-67.383,46.875,-113.281,0
1504326094.235,-38.086,25.391,-13.184,48.340,-102.051,0
1504326094.239,-48.340,51.270,112.305,41.016,-62.012,0
1504326094.243,33.203,13.672,55.176,2.441,-73.730,0
1504326094.247,95.215,13.184,-45.410,-0.977,-85.449,0
1504326094.251,64.941,49.805,20.508,25.391,-75.195,0
1504326094.255,49.316,23.926,35.645,80.078,-41.016,0
1504326094.259,20.996,5.371,16.602,56.152,-43.945,0
1504326094.263,-1.465,-39.551,-25.879,8.301,-80.078,0
1504326094.267,54.199,3.418,-15.137,75.195,-111.328,0
1504326094.271,112.793,112.305,143.066,95.703,-78.125,0
1504326094.275,134.277,14.648,56.152,53.223,-56.152,0
1504326094.278,69.824,-35.156,-39.062,59.570,-116.211,0
1504326094.282,21.484,59.570,42.969,90.820,-147.949,0
1504326094.286,24.414,83.008,96.191,80.078,-114.258,0
1504326094.290,74.707,12.207,37.109,68.848,-103.027,0
1504326094.294,113.281,2.930,71.289,62.012,-122.070,0
1504326094.298,107.422,56.152,114.746,61.035,-105.957,0
1504326094.302,92.773,40.527,57.617,81.543,-85.449,0
1504326094.306,92.285,-33.203,-16.602,59.570,-84.961,0
1504326094.310,73.242,6.836,-27.832,47.363,-103.027,0
1504326094.314,23.438,72.754,73.242,63.477,-117.188,0
1504326094.318,44.434,53.711,104.492,72.754,-120.117,0
1504326094.321,106.934,1.953,37.109,71.289,-98.145,0
1504326094.325,116.211,-1.953,22.949,42.480,-101.074,0
1504326094.329,77.148,102.539,206.055,28.320,-84.961,0
1504326094.333,26.367,45.898,139.648,53.223,-44.922,0
1504326094.337,52.246,27.344,50.781,31.250,-32.227,0
1504326094.341,95.215,54.688,106.934,21.484,-14.648,0
1504326094.345,130.371,51.758,127.930,65.430,-31.738,0
1504326094.349,76.660,32.715,149.902,43.457,-29.297,0
1504326094.353,-49.316,-29.785,67.383,40.039,-3.418,0
1504326094.357,-6.836,41.992,76.660,99.121,7.812,0
1504326094.360,88.867,104.004,167.969,104.492,13.672,0
1504326094.364,116.699,42.480,134.766,45.410,-8.301,0
1504326094.368,65.430,48.340,126.953,36.133,1.465,0
1504326094.372,16.113,85.938,160.156,55.664,38.086,0
1504326094.376,30.273,70.801,165.039,61.523,62.988,0
1504326094.380,122.559,51.758,137.695,75.195,64.941,0
1504326094.384,195.312,41.016,97.656,66.406,54.688,0
1504326094.388,43.945,83.496,132.812,55.664,45.410,0
1504326094.392,-29.297,74.707,164.551,57.129,54.688,0
1504326094.396,45.898,21.973,99.609,56.641,64.453,0
1504326094.400,57.617,-12.207,89.844,32.715,52.734,0
1504326094.403,77.148,45.898,159.668,39.551,46.387,0
1504326094.407,122.559,116.699,216.309,52.246,65.918,0
1504326094.411,187.500,3.906,94.238,30.762,76.172,0
1504326094.415,157.227,-19.531,21.973,41.016,39.062,0
1504326094.419,44.434,140.137,225.586,65.430,40.527,0
1504326094.423,2.441,79.102,191.406,80.078,72.754,0
1504326094.427,56.641,28.809,81.543,59.570,59.570,0
1504326094.431,82.520,56.152,127.441,27.344,74.219,0
1504326094.435,37.598,54.199,142.578,31.738,73.730,0
1504326094.439,3.906,75.195,152.832,45.898,74.219,0
1504326094.443,6.348,8.789,50.293,46.875,64.941,0
1504326094.446,17.578,19.531,42.480,40.527,47.363,0
1504326094.450,34.668,87.891,145.996,40.039,68.848,0
1504326094.454,88.867,84.961,141.602,57.129,71.777,0
1504326094.458,117.676,-20.508,0.000,62.012,28.809,0
1504326094.462,82.520,45.898,78.613,49.805,30.762,0
1504326094.466,22.949,134.277,255.859,49.805,105.957,0
1504326094.470,12.695,17.090,90.332,60.059,96.191,0
1504326094.474,1.465,30.273,73.730,67.871,80.566,0
1504326094.478,-21.973,76.172,128.418,20.020,101.074,0
1504326094.482,-37.109,43.457,110.840,-25.879,93.750,0
1504326094.485,-0.488,10.254,24.902,1.465,79.590,0
1504326094.489,59.570,2.441,-32.227,15.625,63.965,0
1504326094.493,64.453,19.043,2.441,4.395,40.039,0
1504326094.497,53.223,65.430,41.504,8.301,26.367,0
1504326094.501,-14.648,34.668,18.555,54.688,46.387,0
1504326094.505,3.418,1.953,-40.039,60.547,15.625,0
1504326094.509,83.496,139.648,144.043,27.344,21.484,0
1504326094.513,56.641,126.465,145.508,40.039,35.156,0
1504326094.517,7.324,4.883,-10.254,39.062,7.324,0
1504326094.521,-1.953,40.039,7.324,31.250,7.324,0
1504326094.525,44.434,138.672,113.281,51.270,7.324,0
1504326094.528,119.141,82.520,70.801,57.129,25.391,0
1504326094.532,117.676,71.289,-5.371,37.109,6.836,0
1504326094.536,80.078,85.449,32.227,19.531,-2.441,0
1504326094.540,6.836,62.012,11.230,39.551,8.301,0
1504326094.544,-41.016,123.535,84.473,51.758,36.133,0
1504326094.548,-5.371,33.691,-11.719,46.387,28.320,0
1504326094.552,74.707,38.086,-39.551,31.250,-22.461,0
1504326094.556,114.746,179.199,170.410,21.973,-3.906,0
1504326094.560,20.996,76.172,94.238,19.531,26.855,0
1504326094.564,-8.301,30.273,-29.297,54.199,17.578,0
1504326094.568,22.461,125.977,27.832,59.570,12.207,0
1504326094.571,-51.270,121.582,97.168,35.645,38.574,0
1504326094.575,-9.766,60.059,10.742,40.527,43.945,0
1504326094.579,41.992,77.148,-7.324,47.852,41.992,0
1504326094.583,-13.672,103.027,30.762,50.293,52.246,0
1504326094.587,-9.277,74.219,-22.461,45.410,32.227,0
1504326094.591,46.387,75.195,-20.508,10.742,6.836,0
1504326094.595,68.848,83.496,-17.578,8.301,-20.996,0
1504326094.599,16.602,182.617,93.750,47.363,-23.926,0
1504326094.603,-34.180,158.203,101.562,52.734,-1.953,0
1504326094.607,14.160,76.660,-33.203,24.414,-11.230,0
1504326094.610,122.559,78.125,-50.293,15.625,-4.395,0
1504326094.614,113.770,131.836,42.480,23.926,18.066,0
1504326094.618,-30.273,129.883,73.730,12.695,44.434,0
1504326094.622,-57.129,37.109,-61.523,25.879,30.273,0
1504326094.626,-1.953,93.750,-17.578,39.062,20.508,0
1504326094.630,12.207,133.301,67.871,18.555,65.918,0
1504326094.634,17.578,71.289,-38.574,16.602,76.172,0
1504326094.638,39.062,38.086,-130.859,20.020,59.570,0
1504326094.642,54.199,94.238,-48.828,18.555,57.129,0
1504326094.646,31.738,161.621,116.699,25.879,99.121,0
1504326094.650,35.645,109.375,17.090,23.926,158.203,0
1504326094.653,-3.418,173.340,23.926,48.828,244.141,0
1504326094.657,52.734,194.824,91.797,60.547,368.652,0
1504326094.661,187.988,151.855,61.035,20.996,607.422,0
1504326094.665,88.379,111.816,7.812,1.953,890.625,0
1504326094.669,-29.785,54.199,-60.547,14.648,998.535,0
1504326094.673,41.504,98.145,9.277,39.062,994.629,0
1504326094.677,0.488,92.773,39.062,62.500,998.047,0
1504326094.681,-20.020,-30.273,-104.004,46.875,-1000.000,0
1504326094.685,44.922,9.766,-88.379,38.086,999.512,0
1504326094.689,63.477,128.418,95.703,42.969,999.512,0
1504326094.693,45.898,84.473,70.801,38.574,999.512,0
1504326094.696,37.598,-23.926,-99.121,35.645,999.023,0
1504326094.700,47.363,-8.301,-89.355,38.086,997.070,0
1504326094.704,-7.324,74.219,42.969,49.316,-997.559,0
1504326094.708,30.273,15.625,-17.090,44.922,967.285,0
1504326094.712,88.379,-1.953,-77.637,48.340,891.113,0
1504326094.716,43.945,19.043,-49.316,61.035,845.215,0
1504326094.720,50.293,19.043,-17.090,59.570,785.156,0
1504326094.724,4.395,-19.043,-59.082,62.988,665.527,0
1504326094.728,-22.949,-80.078,-171.387,61.523,553.711,0
1504326094.732,7.812,-1.953,-94.238,64.941,490.234,0
1504326094.735,59.082,90.820,67.871,53.223,456.055,0
1504326094.739,104.492,43.945,20.020,19.531,427.246,0
1504326094.743,89.844,0.488,-88.379,13.184,366.211,0
1504326094.747,95.215,67.383,-3.418,20.508,320.312,0
1504326094.751,124.512,70.312,54.199,31.738,283.691,0
1504326094.755,41.992,14.160,-43.457,54.199,233.398,0
1504326094.759,-71.289,12.207,-59.082,74.707,183.105,0
1504326094.763,-34.180,35.645,-26.855,82.520,128.418,0
1504326094.767,68.848,49.805,-4.395,40.039,112.793,0
1504326094.771,87.402,5.859,-48.340,2.441,90.332,0
1504326094.775,30.762,-16.602,-94.727,29.785,21.973,0
1504326094.778,-6.348,32.227,-50.293,39.062,-2.441,0
1504326094.782,35.156,69.336,-4.883,26.367,-35.645,0
1504326094.786,63.477,-12.207,-92.773,44.922,-67.871,0
1504326094.790,19.043,-40.527,-130.859,64.941,-103.027,0
1504326094.794,69.824,121.094,-114.746,41.016,-116.699,0
1504326094.798,151.855,79.590,-555.664,18.555,-116.699,0
1504326094.802,79.590,-40.039,-897.461,52.734,-171.875,0
1504326094.806,-68.848,6.836,-812.500,46.387,-159.668,0
1504326094.810,-88.379,81.543,-668.457,32.227,-126.465,0
1504326094.814,35.645,29.297,-719.727,44.434,-131.348,0
1504326094.818,120.117,4.883,-742.676,26.367,-157.227,0
1504326094.821,64.453,21.484,-674.316,37.109,-155.273,0
1504326094.825,-17.090,53.711,-604.980,46.875,-121.582,0
1504326094.829,-37.598,98.145,-502.930,43.945,-89.355,0
1504326094.833,29.297,-6.348,-598.145,71.289,-74.219,0
1504326094.837,103.516,13.184,-589.844,62.988,-82.520,0
1504326094.841,88.379,109.375,-398.926,27.832,-50.781,0
1504326094.845,-37.109,17.578,-449.707,22.949,-33.691,0
1504326094.849,-67.871,8.301,-444.336,44.434,-42.969,0
1504326094.853,128.906,41.992,-392.090,56.152,-74.707,0
1504326094.857,206.055,40.527,-358.398,45.410,-83.496,0
1504326094.860,0.488,-9.277,-374.512,33.691,-66.406,0
1504326094.864,-96.191,-15.625,-378.418,43.945,-72.754,0
1504326094.868,-65.430,42.480,-291.992,31.250,-70.312,0
1504326094.872,25.879,69.824,-234.863,-1.465,-64.941,0
1504326094.876,103.516,13.672,-273.438,0.488,-55.176,0
1504326094.880,11.230,-26.855,-342.773,30.273,-83.984,0
1504326094.884,-5.371,118.164,-156.738,51.758,-87.891,0
1504326094.888,62.500,78.613,-143.555,54.199,-50.293,0
1504326094.892,21.973,-1.953,-250.977,30.762,-49.316,0
1504326094.896,64.941,37.598,-206.543,27.832,-43.457,0
1504326094.900,223.633,80.078,-154.785,40.039,-12.207,0
1504326094.903,148.926,26.367,-236.328,40.039,-17.578,0
1504326094.907,-40.039,-8.301,-302.246,25.879,-20.996,0
1504326094.911,-135.742,32.715,-212.891,41.992,-13.184,0
1504326094.915,-133.301,24.902,-187.500,50.781,-9.766,0
1504326094.919,33.691,55.176,-165.527,29.297,-5.859,0
1504326094.923,106.445,-4.883,-217.773,6.348,-6.348,0
1504326094.927,-48.340,22.949,-194.824,16.602,14.648,0
1504326094.931,-71.289,105.957,-52.246,43.945,43.945,0
1504326094.935,30.273,10.742,-131.836,53.711,66.406,0
1504326094.939,79.102,6.348,-153.320,52.246,79.590,0
1504326094.943,127.441,41.016,-117.188,17.090,55.176,0
1504326094.946,128.418,36.133,-95.215,1.953,52.734,0
1504326094.950,-1.465,-12.207,-149.414,49.316,63.477,0
1504326094.954,9.277,1.953,-124.512,74.219,89.844,0
1504326094.958,29.297,38.574,-52.734,47.363,133.301,0
1504326094.962,-70.801,10.742,-97.168,41.992,143.066,0
1504326094.966,-34.180,-0.977,-117.188,36.621,134.766,0
1504326094.970,88.867,12.207,-143.066,-0.488,116.699,0
1504326094.974,90.820,136.719,-13.672,-14.160,126.953,0
1504326094.978,-16.113,132.812,38.574,10.742,167.480,0
1504326094.982,-52.734,3.418,-126.953,29.297,200.195,0
1504326094.985,-34.668,20.996,-122.559,49.316,230.469,0
1504326094.989,20.996,140.137,46.875,41.992,277.344,0
1504326094.993,129.395,93.262,8.789,20.508,333.984,0
1504326094.997,82.031,41.504,-76.660,10.742,342.285,0
1504326095.001,-8.789,83.984,-12.207,27.344,374.512,0
1504326095.005,87.402,66.895,-11.719,44.434,403.809,0
1504326095.009,62.500,32.227,-53.711,40.039,388.184,0
1504326095.013,-44.922,2.441,-82.520,47.852,375.488,0
1504326095.017,-68.359,52.246,-25.391,53.223,383.789,0
1504326095.021,2.930,135.742,105.957,53.223,426.270,0
1504326095.025,129.395,30.762,-17.090,51.758,449.219,0
1504326095.028,94.238,52.246,-18.066,48.340,466.797,0
1504326095.032,13.672,99.609,67.383,52.734,489.258,0
1504326095.036,-25.391,70.312,51.270,46.875,508.301,0
1504326095.040,-23.926,28.320,-1.953,22.949,513.672,0
1504326095.044,53.711,23.438,-32.227,-0.488,492.676,0
