timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1504428338.973,100.098,-768.066,69.824,112.793,82.520,0
1504428338.977,99.121,-931.641,62.500,112.305,39.551,0
1504428338.981,99.609,-822.266,75.684,112.793,31.738,0
1504428338.985,104.492,-712.402,66.895,113.770,69.824,0
1504428338.989,101.562,-818.848,24.902,98.145,65.918,0
1504428338.993,95.215,-956.543,58.105,97.168,83.496,0
1504428338.997,91.309,-958.984,55.176,98.145,105.469,0
1504428339.000,89.355,-958.496,41.504,97.168,80.566,0
1504428339.004,91.309,-972.168,102.539,101.074,37.598,0
1504428339.008,78.613,-947.754,94.727,90.332,23.438,0
1504428339.012,52.734,-800.293,49.316,69.824,44.922,0
1504428339.016,48.828,-624.023,35.645,53.223,86.914,0
1504428339.020,53.223,-778.809,62.500,63.965,75.195,0
1504428339.024,37.598,-902.832,41.504,55.176,33.691,0
1504428339.028,28.809,-731.445,3.418,30.762,43.457,0
1504428339.032,33.691,-719.727,-15.137,34.668,57.129,0
1504428339.036,44.434,-821.289,0.977,47.852,51.270,0
1504428339.040,38.086,-920.898,52.246,42.480,50.781,0
1504428339.043,7.812,-944.824,47.363,13.184,76.172,0
1504428339.047,-3.418,-872.070,18.555,-7.812,103.027,0
1504428339.051,-10.742,-936.035,3.906,-16.602,41.992,0
1504428339.055,-15.625,-948.242,34.180,-18.066,35.645,0
1504428339.059,-10.742,-708.496,35.645,-28.320,92.285,0
1504428339.063,-0.488,-766.602,22.461,-25.391,44.434,0
1504428339.067,10.742,-919.434,18.555,-12.207,19.531,0
1504428339.071,0.488,-742.676,11.230,-18.555,51.758,0
1504428339.075,-6.348,-684.570,-2.441,-19.531,41.016,0
1504428339.079,-3.906,-825.195,-11.719,-10.254,21.973,0
1504428339.083,-1.465,-850.586,-44.434,-2.441,28.320,0
1504428339.086,5.859,-864.746,-54.688,3.418,50.293,0
1504428339.090,19.531,-902.832,11.719,1.953,81.055,0
1504428339.094,28.809,-910.645,4.395,3.906,44.434,0
