timestamps,X,Y,Z,Marker0
1504428339.213,-0.685,0.472,0.552,0
1504428339.233,-0.687,0.472,0.550,0
1504428339.253,-0.688,0.474,0.552,0
1504428339.273,-0.687,0.473,0.552,0
1504428339.292,-0.686,0.470,0.553,0
1504428339.312,-0.683,0.470,0.554,0
1504428339.332,-0.682,0.471,0.554,0
1504428339.351,-0.683,0.471,0.556,0
1504428339.371,-0.684,0.472,0.552,0
1504428339.391,-0.688,0.473,0.550,0
1504428339.411,-0.689,0.472,0.551,0
1504428339.430,-0.688,0.471,0.551,0
1504428339.450,-0.687,0.469,0.552,0
1504428339.470,-0.684,0.467,0.553,0
1504428339.489,-0.682,0.466,0.554,0
1504428339.509,-0.682,0.467,0.555,0
1504428339.529,-0.683,0.469,0.553,0
1504428339.548,-0.686,0.471,0.551,0
1504428339.568,-0.689,0.473,0.550,0
1504428339.588,-0.692,0.475,0.550,0
1504428339.608,-0.691,0.475,0.549,0
1504428339.627,-0.688,0.474,0.550,0
1504428339.647,-0.685,0.472,0.552,0
1504428339.667,-0.684,0.470,0.553,0
1504428339.686,-0.684,0.469,0.553,0
1504428339.706,-0.684,0.467,0.552,0
1504428339.726,-0.686,0.468,0.553,0
1504428339.746,-0.686,0.469,0.551,0
1504428339.765,-0.687,0.470,0.549,0
1504428339.785,-0.690,0.471,0.552,0
1504428339.805,-0.686,0.473,0.548,0
1504428339.824,-0.686,0.474,0.551,0
1504428339.844,-0.683,0.474,0.551,0
1504428339.864,-0.685,0.474,0.552,0
1504428339.883,-0.685,0.475,0.552,0
1504428339.903,-0.686,0.474,0.551,0
1504428339.923,-0.688,0.474,0.551,0
1504428339.943,-0.688,0.474,0.550,0
1504428339.962,-0.688,0.473,0.550,0
1504428339.982,-0.686,0.473,0.550,0
1504428340.002,-0.686,0.471,0.551,0
1504428340.021,-0.684,0.470,0.553,0
1504428340.041,-0.684,0.469,0.553,0
1504428340.061,-0.682,0.471,0.553,0
1504428340.081,-0.683,0.474,0.551,0
1504428340.100,-0.686,0.476,0.549,0
1504428340.120,-0.688,0.478,0.551,0
1504428340.140,-0.688,0.477,0.551,0
1504428340.159,-0.687,0.475,0.550,0
1504428340.179,-0.683,0.474,0.549,0
1504428340.199,-0.682,0.472,0.551,0
1504428340.219,-0.683,0.470,0.552,0
1504428340.238,-0.685,0.471,0.551,0
1504428340.258,-0.687,0.471,0.551,0
1504428340.278,-0.688,0.473,0.551,0
1504428340.297,-0.687,0.474,0.551,0
1504428340.317,-0.684,0.475,0.551,0
1504428340.337,-0.682,0.477,0.551,0
1504428340.356,-0.685,0.476,0.551,0
1504428340.376,-0.685,0.477,0.550,0
1504428340.396,-0.686,0.475,0.552,0
1504428340.416,-0.684,0.474,0.552,0
1504428340.435,-0.682,0.472,0.551,0
1504428340.455,-0.683,0.472,0.550,0
1504428340.475,-0.683,0.473,0.550,0
1504428340.494,-0.685,0.474,0.550,0
1504428340.514,-0.686,0.475,0.549,0
1504428340.534,-0.687,0.476,0.548,0
1504428340.554,-0.687,0.475,0.550,0
1504428340.573,-0.687,0.475,0.550,0
1504428340.593,-0.685,0.474,0.552,0
1504428340.613,-0.684,0.473,0.553,0
1504428340.632,-0.682,0.473,0.553,0
1504428340.652,-0.683,0.475,0.551,0
1504428340.672,-0.684,0.476,0.551,0
1504428340.691,-0.685,0.476,0.549,0
1504428340.711,-0.685,0.477,0.550,0
1504428340.731,-0.685,0.477,0.552,0
1504428340.751,-0.685,0.475,0.550,0
1504428340.770,-0.688,0.476,0.549,0
1504428340.790,-0.689,0.471,0.554,0
1504428340.810,-0.683,0.471,0.553,0
1504428340.829,-0.679,0.470,0.552,0
1504428340.849,-0.680,0.471,0.550,0
1504428340.869,-0.685,0.475,0.551,0
1504428340.889,-0.688,0.478,0.551,0
1504428340.908,-0.690,0.478,0.550,0
1504428340.928,-0.688,0.479,0.549,0
1504428340.948,-0.686,0.476,0.549,1
1504428340.967,-0.684,0.475,0.551,0
1504428340.987,-0.682,0.474,0.553,0
1504428341.007,-0.682,0.472,0.554,0
1504428341.026,-0.682,0.472,0.551,0
1504428341.046,-0.683,0.474,0.550,0
1504428341.066,-0.684,0.475,0.549,0
1504428341.086,-0.686,0.476,0.549,0
1504428341.105,-0.687,0.475,0.549,0
1504428341.125,-0.687,0.475,0.550,0
1504428341.145,-0.686,0.473,0.552,0
1504428341.164,-0.684,0.472,0.553,0
1504428341.184,-0.682,0.473,0.553,0
1504428341.204,-0.682,0.473,0.553,0
1504428341.224,-0.684,0.473,0.552,0
1504428341.243,-0.685,0.473,0.552,0
1504428341.263,-0.685,0.473,0.550,0
1504428341.283,-0.685,0.474,0.551,0
1504428341.302,-0.685,0.475,0.553,0
1504428341.322,-0.684,0.474,0.553,0
1504428341.342,-0.683,0.474,0.553,0
1504428341.362,-0.684,0.473,0.553,0
1504428341.381,-0.684,0.474,0.553,0
1504428341.401,-0.684,0.474,0.552,0
1504428341.421,-0.685,0.474,0.553,0
1504428341.440,-0.685,0.473,0.552,0
1504428341.460,-0.684,0.473,0.552,0
1504428341.480,-0.684,0.473,0.552,0
1504428341.499,-0.682,0.472,0.553,0
