timestamps,X,Y,Z,Marker0
1485087410.059,-0.621,-0.576,-0.882,0
1485087410.078,-1.159,-1.054,-0.755,0
1485087410.098,-1.204,-0.247,-1.211,0
1485087410.118,-0.426,1.122,-1.757,0
1485087410.137,0.396,1.563,-2.094,0
1485087410.157,0.292,0.920,-2.490,0
1485087410.177,-0.164,0.336,-3.223,0
1485087410.196,-0.194,0.389,-3.903,0
1485087410.216,0.292,0.800,-4.329,1
1485087410.236,0.568,0.807,-4.658,0
1485087410.256,0.673,0.396,-4.897,0
1485087410.275,0.576,-0.157,-5.174,0
1485087410.295,0.284,-0.426,-5.630,0
1485087410.315,-0.097,-0.314,-5.817,0
1485087410.334,-0.105,-0.045,-5.862,0
1485087410.354,-0.030,-0.135,-5.368,0
1485087410.374,-0.030,-0.531,-4.531,0
1485087410.394,-0.217,-1.039,-3.873,0
1485087410.413,-0.479,-0.994,-3.649,0
1485087410.433,-0.553,-0.336,-3.611,0
1485087410.453,-0.150,0.247,-3.634,0
1485087410.472,0.232,0.613,-3.978,0
1485087410.492,0.172,0.636,-4.150,0
1485087410.512,0.075,0.561,-3.978,0
1485087410.532,0.060,0.516,-3.574,0
1485087410.551,0.090,0.591,-3.148,0
1485087410.571,0.060,0.837,-2.766,0
1485087410.591,0.112,1.346,-2.789,0
1485087410.610,0.015,1.443,-2.579,0
1485087410.630,0.262,0.852,-2.475,0
1485087410.650,0.322,-0.052,-2.864,0
1485087410.670,0.142,-0.493,-3.686,0
1485087410.689,-0.112,-0.434,-4.673,0
1485087410.709,-0.075,-0.172,-5.211,0
1485087410.729,0.172,0.037,-5.279,0
1485087410.748,0.224,0.022,-5.107,0
1485087410.768,-0.060,-0.187,-4.464,0
1485087410.788,-0.680,-0.665,-3.208,0
1485087410.807,-1.271,-1.181,-1.765,0
1485087410.827,-1.376,-1.174,-0.740,0
1485087410.847,-1.017,-0.665,-0.621,0
1485087410.867,-0.860,0.015,-0.875,0
1485087410.886,-0.979,0.322,-0.703,0
1485087410.906,-0.994,0.322,-0.314,0
1485087410.926,-1.047,0.097,-0.090,0
1485087410.945,-1.069,-0.157,-0.187,0
1485087410.965,-1.024,-0.247,-0.374,0
1485087410.985,-1.129,-0.344,-0.748,0
1485087411.005,-1.174,-0.434,-1.009,0
1485087411.024,-1.062,-0.501,-1.264,0
1485087411.044,-0.927,-0.441,-1.376,0
1485087411.064,-0.912,-0.449,-1.495,0
1485087411.083,-0.718,-0.613,-1.682,0
1485087411.103,-0.591,-0.658,-1.854,0
1485087411.123,-0.434,-0.366,-1.936,0
1485087411.143,-0.479,0.000,-1.705,0
1485087411.162,-0.538,0.209,-1.421,0
1485087411.182,-0.479,0.389,-1.166,0
1485087411.202,-0.636,0.329,-0.665,0
1485087411.221,-0.875,0.142,-0.479,0
1485087411.241,-0.950,0.045,-0.449,0
1485087411.261,-1.039,-0.284,-0.164,0
1485087411.280,-0.867,-0.322,-0.232,0
1485087411.300,-0.404,0.030,-0.793,0
1485087411.320,-0.351,0.172,-1.316,0
1485087411.340,-0.411,0.022,-2.056,0
1485087411.359,-0.082,0.067,-2.886,0
1485087411.379,0.082,0.022,-3.133,0
1485087411.399,-0.052,-0.142,-3.178,0
1485087411.418,-0.082,0.135,-3.290,0
1485087411.438,-0.150,0.254,-2.789,0
1485087411.458,-0.247,0.209,-2.183,0
1485087411.478,-0.224,0.262,-1.929,2
1485087411.497,-0.217,0.277,-1.593,0
1485087411.517,-0.344,0.217,-1.331,0
1485087411.537,-0.262,0.209,-1.548,0
1485087411.556,0.232,0.770,-2.378,0
1485087411.576,0.157,1.039,-2.393,0
1485087411.596,-0.434,0.643,-1.675,0
1485087411.616,-0.927,0.112,-0.546,0
1485087411.635,-1.413,-0.322,0.695,0
1485087411.655,-1.473,-0.292,1.196,0
1485087411.675,-1.368,-0.359,0.860,0
1485087411.694,-0.920,-0.127,-0.224,0
1485087411.714,-0.389,-0.082,-1.450,0
1485087411.734,0.120,0.157,-2.557,0
1485087411.754,0.381,0.179,-3.551,0
1485087411.773,0.516,0.172,-4.381,0
1485087411.793,0.456,0.202,-5.099,0
1485087411.813,0.523,0.194,-5.652,0
1485087411.832,0.583,0.150,-6.064,0
1485087411.852,0.516,0.075,-6.206,0
1485087411.872,0.568,0.105,-6.281,0
1485087411.891,0.628,0.523,-6.049,0
1485087411.911,0.680,0.905,-5.241,0
1485087411.931,0.516,0.501,-4.030,0
1485087411.951,0.224,0.142,-2.946,0
1485087411.970,-0.037,-0.090,-2.467,3
1485087411.990,-0.172,-0.179,-2.594,0
1485087412.010,-0.209,-0.172,-2.886,0
1485087412.029,-0.284,-0.232,-3.170,0
1485087412.049,-0.471,-0.501,-3.208,0
1485087412.069,-0.501,-0.501,-2.886,0
1485087412.089,-0.583,-0.396,-2.527,0
1485087412.108,-0.561,-0.538,-2.198,0
1485087412.128,-0.471,-0.523,-2.236,0
1485087412.148,-0.209,-0.127,-2.505,0
1485087412.167,-0.015,0.187,-2.759,0
1485087412.187,0.135,0.531,-2.983,0
1485087412.207,0.232,0.822,-2.983,0
1485087412.227,0.239,0.905,-2.991,0
1485087412.246,0.000,0.905,-2.834,0
1485087412.266,-0.120,0.680,-2.505,0
1485087412.286,-0.209,0.404,-2.056,0
1485087412.305,-0.389,0.135,-1.443,0
1485087412.325,-0.381,0.007,-0.942,0
1485087412.345,-0.277,0.120,-1.136,0
1485087412.365,-0.284,0.351,-1.652,0
1485087412.384,-0.127,0.441,-2.265,0
1485087412.404,0.127,0.411,-2.774,0
1485087412.424,0.052,0.359,-2.849,0
1485087412.443,-0.060,0.112,-2.804,0
1485087412.463,-0.187,0.015,-2.789,4
1485087412.483,-0.299,-0.172,-2.662,0
1485087412.502,-0.434,-0.411,-2.445,0
1485087412.522,-0.501,-0.299,-2.288,0
1485087412.542,-0.464,0.135,-2.161,0
1485087412.562,-0.127,0.486,-2.041,0
1485087412.581,-0.157,0.561,-1.727,0
1485087412.601,-0.366,0.307,-1.264,0
1485087412.621,-0.449,0.052,-1.092,0
1485087412.640,-0.479,-0.060,-1.391,0
1485087412.660,-0.411,-0.135,-1.996,0
1485087412.680,-0.314,-0.172,-2.535,0
1485087412.700,-0.307,-0.127,-2.901,0
1485087412.719,-0.135,0.022,-3.051,0
1485087412.739,0.007,0.187,-2.923,0
1485087412.759,-0.127,0.247,-2.572,0
1485087412.778,-0.277,0.022,-2.288,0
1485087412.798,-0.404,-0.262,-2.071,0
1485087412.818,-0.359,-0.209,-2.011,0
1485087412.838,-0.209,0.045,-1.839,0
1485087412.857,-0.142,0.269,-1.862,0
1485087412.877,-0.224,0.284,-1.877,0
1485087412.897,-0.277,0.366,-2.116,0
1485087412.916,-0.172,0.366,-2.378,0
1485087412.936,-0.067,0.142,-2.684,0
1485087412.956,0.022,-0.090,-2.931,0
1485087412.975,-0.150,-0.157,-3.043,5
1485087412.995,-0.262,-0.052,-3.021,0
1485087413.015,-0.194,0.127,-2.737,0
1485087413.035,-0.247,0.194,-2.251,0
1485087413.054,-0.299,0.150,-1.645,0
1485087413.074,-0.329,-0.007,-1.211,0
1485087413.094,-0.426,0.022,-1.226,0
1485087413.113,-0.426,0.164,-1.458,0
1485087413.133,-0.493,0.187,-1.690,0
1485087413.153,-0.531,0.142,-1.862,0
1485087413.173,-0.665,-0.105,-1.936,0
1485087413.192,-0.703,-0.239,-1.720,0
1485087413.212,-0.725,-0.179,-1.301,0
1485087413.232,-0.695,0.000,-0.965,0
1485087413.251,-0.583,0.142,-0.965,0
1485087413.271,-0.583,0.172,-1.286,0
1485087413.291,-0.568,0.082,-1.750,0
1485087413.311,-0.576,-0.060,-2.064,0
1485087413.330,-0.479,-0.150,-2.131,0
1485087413.350,-0.523,-0.127,-1.884,0
