timestamps,X,Y,Z,Marker0
1484987567.678,-0.877,0.474,0.076,0
1484987567.697,-0.873,0.473,0.076,0
1484987567.717,-0.875,0.476,0.077,0
1484987567.737,-0.877,0.477,0.076,0
1484987567.756,-0.876,0.477,0.075,0
1484987567.776,-0.877,0.477,0.074,0
1484987567.796,-0.875,0.477,0.076,0
1484987567.816,-0.876,0.475,0.077,0
1484987567.835,-0.874,0.474,0.077,0
1484987567.855,-0.877,0.474,0.075,0
1484987567.875,-0.878,0.476,0.075,0
1484987567.894,-0.878,0.476,0.073,0
1484987567.914,-0.877,0.476,0.074,0
1484987567.934,-0.876,0.476,0.076,0
1484987567.953,-0.876,0.477,0.073,0
1484987567.973,-0.875,0.480,0.074,0
1484987567.993,-0.878,0.477,0.079,0
1484987568.013,-0.875,0.478,0.077,0
1484987568.032,-0.875,0.477,0.077,0
1484987568.052,-0.875,0.479,0.078,0
1484987568.072,-0.875,0.479,0.077,0
1484987568.091,-0.875,0.476,0.077,0
1484987568.111,-0.874,0.475,0.077,0
1484987568.131,-0.875,0.476,0.076,1
1484987568.151,-0.878,0.477,0.075,0
1484987568.170,-0.871,0.477,0.079,0
1484987568.190,-0.877,0.478,0.074,0
1484987568.210,-0.881,0.474,0.075,0
1484987568.229,-0.879,0.478,0.072,0
1484987568.249,-0.879,0.480,0.075,0
1484987568.269,-0.878,0.479,0.076,0
1484987568.289,-0.873,0.477,0.079,0
1484987568.308,-0.871,0.475,0.079,0
1484987568.328,-0.870,0.475,0.080,0
1484987568.348,-0.873,0.476,0.081,0
1484987568.367,-0.873,0.477,0.078,0
1484987568.387,-0.876,0.478,0.077,0
1484987568.407,-0.882,0.481,0.077,0
1484987568.426,-0.877,0.481,0.075,0
1484987568.446,-0.874,0.481,0.076,0
1484987568.466,-0.873,0.478,0.077,0
1484987568.486,-0.872,0.477,0.078,0
1484987568.505,-0.873,0.478,0.078,0
1484987568.525,-0.873,0.480,0.077,0
1484987568.545,-0.875,0.481,0.076,0
1484987568.564,-0.875,0.481,0.078,0
1484987568.584,-0.871,0.481,0.079,0
1484987568.604,-0.875,0.481,0.081,0
1484987568.624,-0.874,0.482,0.082,0
1484987568.643,-0.873,0.482,0.077,0
1484987568.663,-0.874,0.483,0.077,0
1484987568.683,-0.872,0.481,0.081,0
1484987568.702,-0.875,0.482,0.076,0
1484987568.722,-0.873,0.480,0.077,0
1484987568.742,-0.873,0.479,0.076,0
1484987568.761,-0.875,0.481,0.077,0
1484987568.781,-0.875,0.482,0.078,0
1484987568.801,-0.876,0.484,0.078,0
1484987568.821,-0.873,0.483,0.079,0
1484987568.840,-0.869,0.481,0.078,0
1484987568.860,-0.876,0.484,0.077,0
1484987568.880,-0.879,0.486,0.078,0
1484987568.899,-0.868,0.487,0.081,0
1484987568.919,-0.867,0.483,0.082,0
1484987568.939,-0.867,0.480,0.082,0
1484987568.959,-0.869,0.479,0.080,0
1484987568.978,-0.872,0.483,0.077,0
1484987568.998,-0.876,0.484,0.076,0
1484987569.018,-0.878,0.486,0.072,0
1484987569.037,-0.876,0.487,0.073,0
1484987569.057,-0.874,0.484,0.074,0
1484987569.077,-0.871,0.482,0.076,0
1484987569.097,-0.870,0.478,0.081,0
1484987569.116,-0.868,0.476,0.082,0
1484987569.136,-0.864,0.480,0.078,0
1484987569.156,-0.869,0.481,0.077,0
1484987569.175,-0.871,0.484,0.077,0
1484987569.195,-0.880,0.487,0.073,0
1484987569.215,-0.879,0.489,0.079,0
1484987569.234,-0.874,0.487,0.078,0
1484987569.254,-0.866,0.487,0.078,0
1484987569.274,-0.870,0.488,0.077,0
